expiry,side,strike,oi,volume,iv,gamma,customer_gex,dealer_gex,moneyness,otm
2026-07-17,call,40.0,106.0,8.0,4.582035522460938,8.559300718897403e-05,229.57296979687592,-229.57296979687592,0.2514616090918474,False
2026-07-17,call,50.0,12.0,2.0,5.714846606445313,0.0004507523180464607,136.86607629754556,-136.86607629754556,0.3143270113648093,False
2026-07-17,call,55.0,88.0,2.0,3.7890630273437504,0.0001905355036183878,424.263027309695,-424.263027309695,0.3457597125012902,False
2026-07-17,call,60.0,18.0,1.0,5.416995416259764,0.0007143945790808508,325.37730496026364,-325.37730496026364,0.3771924136377711,False
2026-07-17,call,65.0,13.0,2.0,4.001958122558594,0.0005464087595562799,179.73704917915194,-179.73704917915194,0.40862511477425206,False
2026-07-17,call,70.0,2.0,1.0,3.8574222314453124,0.0006987820737778833,35.362939096848216,-35.362939096848216,0.44005781591073295,False
2026-07-17,call,75.0,69.0,1.0,3.128908427734375,0.0005745443618933512,1003.1116171939683,-1003.1116171939683,0.4714905170472139,False
2026-07-17,call,80.0,21.0,1.0,3.2929705175781248,0.0009374292651521424,498.12048731521116,-498.12048731521116,0.5029232181836948,False
2026-07-17,call,85.0,458.0,72.0,3.0302758618164063,0.0010836310983654712,12558.088525454445,-12558.088525454445,0.5343559193201758,False
2026-07-17,call,90.0,169.0,15.0,2.1269578076171873,0.0005653380840558084,2417.528204143229,-2417.528204143229,0.5657886204566567,False
2026-07-17,call,95.0,68.0,2.0,2.3222698193359372,0.0011908989808339181,2049.087190616604,-2049.087190616604,0.5972213215931376,False
2026-07-17,call,100.0,95.0,36.0,2.003911240234375,0.0012121095802492877,2913.6815990182567,-2913.6815990182567,0.6286540227296186,False
2026-07-17,call,105.0,534.0,10.0,2.1650436499023433,0.0021054524664459924,28448.75729696612,-28448.75729696612,0.6600867238660995,False
2026-07-17,call,110.0,147.0,2.0,1.767579287109375,0.0020767214936222517,7724.532320603833,-7724.532320603833,0.6915194250025803,False
2026-07-17,call,115.0,65.0,2.0,1.6025410498046875,0.002571378543176137,4229.17809780703,-4229.17809780703,0.7229521261390613,False
2026-07-17,call,120.0,51.0,1.0,1.32422212890625,0.002724635223789563,3516.050831780375,-3516.050831780375,0.7543848272755422,False
2026-07-17,call,125.0,111.0,1.0,1.481936184082031,0.0048933769511751235,13743.845136519445,-13743.845136519445,0.7858175284120231,False
2026-07-17,call,130.0,86.0,1.0,1.0644578027343752,0.0049462531752688605,10763.447465825531,-10763.447465825531,0.8172502295485041,False
2026-07-17,call,135.0,72.0,2.0,1.0200244311523439,0.007559590412234216,13772.328217276921,-13772.328217276921,0.848682930684985,False
2026-07-17,call,140.0,171.0,14.0,1.1010787133789064,0.011148616315233143,48238.48745585518,-48238.48745585518,0.8801156318214659,False
2026-07-17,call,145.0,871.0,37.0,0.9875489526367188,0.014964837325181007,329812.2310460521,-329812.2310460521,0.9115483329579469,False
2026-07-17,call,150.0,964.0,111.0,0.6757844921875001,0.023284558023431667,567965.0798182068,-567965.0798182068,0.9429810340944278,False
2026-07-17,call,152.5,157.0,57.0,0.694338994140625,0.02625222194477587,104289.91699876315,-104289.91699876315,0.9586973846626683,False
2026-07-17,call,155.0,601.0,148.0,0.6765169067382814,0.02942720219664108,447507.2209709704,-447507.2209709704,0.9744137352309087,False
