ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
MU260702C00005000,MU,5.0,2026-07-02,call,1159.19,4,461182.0,1162.42,2,,,,,,,2026-06-30T19:45:29.680700Z,2026-06-30T19:45:34.142290Z
MU260702P00005000,MU,5.0,2026-07-02,put,0.03,3,8.0,1071.43,1,,,,,,,2026-07-01T13:40:03.628934Z,2026-07-01T13:40:31.559316Z
MU260702P00025000,MU,25.0,2026-07-02,put,0.05,7,58.0,1180.55,7,,,,,,,2026-06-25T15:23:39.132279Z,2026-06-25T15:24:05.638731Z
MU260702P00030000,MU,30.0,2026-07-02,put,0.15,1,15.0,1041.25,8,,,,,,,2026-06-24T13:41:35.539660Z,2026-06-24T13:41:50.651774Z
MU260702C00035000,MU,35.0,2026-07-02,call,1124.46,22,2454986.0,1160.24,2,,,,,,,2026-06-30T19:29:21.170884Z,2026-06-30T19:29:42.021591Z
MU260702P00035000,MU,35.0,2026-07-02,put,0.1,2,11.0,1143.94,2,,,,,,,2026-06-30T15:23:03.073441Z,2026-06-30T15:23:21.520536Z
MU260702C00040000,MU,40.0,2026-07-02,call,1041.51,6,627982.0,1080.37,1,4.23,1.0,0.0,-0.0056,0.0,0.0153,2026-07-01T14:21:48.058147Z,2026-07-01T14:21:59.092906Z
MU260702P00040000,MU,40.0,2026-07-02,put,0.01,3,13.0,1078.96,1,,,,,,,2026-07-01T13:32:31.054157Z,2026-07-01T13:32:36.022254Z
MU260702C00045000,MU,45.0,2026-07-02,call,1116.87,12,1340244.0,1162.3,2,,,,,,,2026-06-30T19:55:22.519553Z,2026-06-30T19:55:53.241072Z
MU260702P00045000,MU,45.0,2026-07-02,put,0.05,1,5.0,1080.0,1,,,,,,,2026-07-01T13:57:01.767155Z,2026-07-01T13:57:12.980560Z
MU260702C00050000,MU,50.0,2026-07-02,call,1116.39,2,223278.0,1166.49,2,,,,,,,2026-06-30T19:20:48.180865Z,2026-06-30T19:21:03.475524Z
MU260702P00050000,MU,50.0,2026-07-02,put,0.02,15,30.0,993.08,8,,,,,,,2026-06-24T19:10:42.656245Z,2026-06-24T19:10:58.880481Z
MU260702C00055000,MU,55.0,2026-07-02,call,1106.7,2,221340.0,1164.02,7,,,,,,,2026-06-25T14:15:58.779543Z,2026-06-25T14:16:26.543346Z
MU260702P00055000,MU,55.0,2026-07-02,put,0.01,25,25.0,1138.71,3,,,,,,,2026-06-29T18:51:39.168797Z,2026-06-29T18:51:43.623159Z
MU260702C00060000,MU,60.0,2026-07-02,call,1100.29,2,220058.0,1161.5,2,,,,,,,2026-06-30T19:25:42.987687Z,2026-06-30T19:26:08.514919Z
MU260702P00060000,MU,60.0,2026-07-02,put,0.01,1,1.0,1149.56,2,,,,,,,2026-06-30T14:41:14.010307Z,2026-06-30T14:41:22.369289Z
MU260702C00065000,MU,65.0,2026-07-02,call,1097.35,40,4326826.0,1161.71,2,,,,,,,2026-06-30T19:52:54.549968Z,2026-06-30T19:53:18.068892Z
MU260702P00065000,MU,65.0,2026-07-02,put,0.01,4,4.0,1149.56,2,4.9451,-0.0,0.0,-0.0076,0.0003,-0.0,2026-06-30T14:41:02.460187Z,2026-06-30T14:41:22.369289Z
MU260702C00070000,MU,70.0,2026-07-02,call,998.85,2,199770.0,1068.78,1,,,,,,,2026-07-01T13:35:10.439413Z,2026-07-01T13:35:15.380692Z
MU260702P00070000,MU,70.0,2026-07-02,put,0.01,19,19.0,1139.45,3,4.2147,-0.0001,0.0,-0.01,0.0007,-0.0,2026-06-29T18:49:19.174181Z,2026-06-29T18:49:42.265144Z
MU260702C00075000,MU,75.0,2026-07-02,call,1086.32,12,1304122.0,1167.26,6,,,,,,,2026-06-26T15:51:41.660191Z,2026-06-26T15:51:53.822789Z
MU260702P00075000,MU,75.0,2026-07-02,put,0.01,1,1.0,1149.56,2,4.1067,-0.0001,0.0,-0.01,0.0007,-0.0,2026-06-30T14:41:21.411776Z,2026-06-30T14:41:22.369289Z
MU260702C00080000,MU,80.0,2026-07-02,call,1119.8,4,450588.0,1197.04,7,,,,,,,2026-06-25T19:24:13.838463Z,2026-06-25T19:24:17.119017Z
MU260702P00080000,MU,80.0,2026-07-02,put,0.01,9,9.0,1137.45,3,4.7396,-0.0005,2e-06,-0.0633,0.0037,-0.0003,2026-06-29T18:47:13.095801Z,2026-06-29T18:47:37.843497Z
MU260702C00085000,MU,85.0,2026-07-02,call,973.26,1,97326.0,1050.58,1,,,,,,,2026-07-01T17:33:08.168981Z,2026-07-01T17:33:12.120947Z
MU260702P00085000,MU,85.0,2026-07-02,put,0.01,9,9.0,1134.66,3,4.0326,-0.0001,0.0,-0.0143,0.001,-0.0001,2026-06-29T18:45:36.629803Z,2026-06-29T18:46:04.927079Z
MU260702C00090000,MU,90.0,2026-07-02,call,962.81,2,192562.0,1044.86,1,,,,,,,2026-07-01T17:11:47.613859Z,2026-07-01T17:11:47.964673Z
MU260702P00090000,MU,90.0,2026-07-02,put,0.01,9,9.0,1133.77,3,4.4193,-0.0004,2e-06,-0.0507,0.0032,-0.0002,2026-06-29T18:44:24.868298Z,2026-06-29T18:44:34.022605Z
MU260702C00095000,MU,95.0,2026-07-02,call,1061.27,1,106127.0,1156.31,2,,,,,,,2026-06-30T18:47:52.211360Z,2026-06-30T18:48:19.927965Z
MU260702P00095000,MU,95.0,2026-07-02,put,0.01,23,205.0,1157.49,2,4.7567,-0.0001,1e-06,-0.0174,0.0006,-0.0,2026-06-30T17:04:30.260656Z,2026-06-30T17:04:33.240250Z
MU260702C00100000,MU,100.0,2026-07-02,call,948.32,4,379328.0,1048.87,1,,,,,,,2026-07-01T19:03:28.948669Z,2026-07-01T19:03:44.991646Z
MU260702P00100000,MU,100.0,2026-07-02,put,0.05,1,5.0,1065.4,1,,,,,,,2026-07-01T14:41:47.174688Z,2026-07-01T14:42:08.775522Z
MU260702C00105000,MU,105.0,2026-07-02,call,927.17,1,92717.0,1033.27,3,,,,,,,2026-06-29T14:24:36.912670Z,2026-06-29T14:24:57.110970Z
MU260702P00105000,MU,105.0,2026-07-02,put,0.05,1,5.0,1057.25,1,4.3896,-0.0001,1e-06,-0.0156,0.0006,-0.0,2026-07-01T14:42:59.165135Z,2026-07-01T14:43:10.534644Z
MU260702C00110000,MU,110.0,2026-07-02,call,883.47,2,176694.0,992.62,20,3.7963,0.9983,6e-06,-0.1361,0.0129,0.0589,2026-06-12T15:54:23.181222Z,2026-06-12T15:54:30.524288Z
MU260702P00110000,MU,110.0,2026-07-02,put,0.01,28,224.0,1156.78,2,4.9795,-0.0005,2e-06,-0.0814,0.0033,-0.0002,2026-06-30T17:06:59.131112Z,2026-06-30T17:07:06.831282Z
MU260702P00115000,MU,115.0,2026-07-02,put,0.05,1,5.0,1065.79,1,4.9985,-0.0001,0.0,-0.0127,0.0003,-0.0,2026-07-01T14:40:34.541394Z,2026-07-01T14:40:36.008908Z
MU260702P00120000,MU,120.0,2026-07-02,put,0.01,21,169.0,1155.57,2,4.4086,-0.0002,1e-06,-0.0249,0.0009,-0.0,2026-06-30T17:05:40.261806Z,2026-06-30T17:06:06.081482Z
MU260702P00125000,MU,125.0,2026-07-02,put,0.02,17,147.0,1157.29,2,4.3235,-0.0002,1e-06,-0.0249,0.0009,-0.0,2026-06-30T17:07:56.557367Z,2026-06-30T17:08:09.640312Z
MU260702P00130000,MU,130.0,2026-07-02,put,0.02,17,141.0,1157.29,2,4.7585,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-30T17:08:16.246098Z,2026-06-30T17:08:40.178380Z
MU260702C00135000,MU,135.0,2026-07-02,call,952.71,1,95271.0,1083.67,9,,,,,,,2026-06-23T14:44:32.483003Z,2026-06-23T14:44:33.008499Z
MU260702P00135000,MU,135.0,2026-07-02,put,0.01,13,13.0,1155.57,2,4.6833,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-30T17:05:39.107539Z,2026-06-30T17:06:06.081482Z
MU260702P00140000,MU,140.0,2026-07-02,put,0.01,10024,10071.0,1147.02,6,4.5958,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-26T18:53:07.357046Z,2026-06-26T18:53:32.822882Z
MU260702P00145000,MU,145.0,2026-07-02,put,0.01,10192,10253.0,1152.49,6,4.5277,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-26T19:17:08.134036Z,2026-06-26T19:17:34.190571Z
MU260702C00150000,MU,150.0,2026-07-02,call,901.8,1,90180.0,1052.62,1,,,,,,,2026-07-01T16:09:00.906157Z,2026-07-01T16:09:25.284329Z
MU260702P00150000,MU,150.0,2026-07-02,put,0.01,3,3.0,1041.33,1,4.4584,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-07-01T18:43:22.108272Z,2026-07-01T18:43:43.970013Z
MU260702C00155000,MU,155.0,2026-07-02,call,1019.97,1,101997.0,1173.98,7,,,,,,,2026-06-25T15:29:01.206553Z,2026-06-25T15:29:13.795204Z
MU260702P00155000,MU,155.0,2026-07-02,put,0.02,1,2.0,1129.86,2,4.582,-0.0001,1e-06,-0.0237,0.0006,-0.0,2026-06-30T13:45:02.413951Z,2026-06-30T13:45:07.977918Z
MU260702C00160000,MU,160.0,2026-07-02,call,974.6,1,97460.0,1128.69,3,,,,,,,2026-06-29T19:55:28.277419Z,2026-06-29T19:55:46.695957Z
MU260702P00160000,MU,160.0,2026-07-02,put,0.01,1,1.0,1078.96,1,4.6522,-0.0002,1e-06,-0.0338,0.0009,-0.0,2026-07-01T13:32:38.692712Z,2026-07-01T13:33:07.564688Z
MU260702P00165000,MU,165.0,2026-07-02,put,0.01,7,7.0,1142.22,2,4.6071,-0.0002,1e-06,-0.0339,0.0009,-0.0,2026-06-30T13:30:49.032803Z,2026-06-30T13:31:01.281321Z
MU260702P00170000,MU,170.0,2026-07-02,put,0.01,328,922.0,1126.0,3,4.6347,-0.0002,1e-06,-0.0436,0.0011,-0.0,2026-06-29T19:07:31.166386Z,2026-06-29T19:07:36.866342Z
MU260702C00175000,MU,175.0,2026-07-02,call,1004.03,1,100403.0,1178.58,6,,,,,,,2026-06-26T17:27:54.087144Z,2026-06-26T17:28:02.652912Z
MU260702P00175000,MU,175.0,2026-07-02,put,0.03,2,17.0,1055.0,1,4.5954,-0.0002,1e-06,-0.0437,0.0011,-0.0,2026-07-01T14:47:04.469283Z,2026-07-01T14:47:18.449110Z
MU260702P00180000,MU,180.0,2026-07-02,put,0.01,291,967.0,1131.32,3,4.4311,-0.0002,1e-06,-0.034,0.0009,-0.0,2026-06-29T19:44:29.570617Z,2026-06-29T19:45:00.699141Z
MU260702P00185000,MU,185.0,2026-07-02,put,0.03,141,349.0,1134.17,3,4.3365,-0.0002,1e-06,-0.0339,0.0009,-0.0,2026-06-29T19:45:39.279152Z,2026-06-29T19:46:01.424672Z
MU260702C00190000,MU,190.0,2026-07-02,call,868.64,1,86864.0,1059.0,1,,,,,,,2026-07-01T19:22:02.709399Z,2026-07-01T19:22:10.530940Z
