ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
QQQ260702P00475000,QQQ,475.00000000000006,2026-07-02,put,0.01,4,4.0,728.3,1,2.481,-0.0004,1.5e-05,-0.0674,0.0005,-0.0,2026-07-01T15:01:21.216723Z,2026-07-01T15:01:42.718384Z
QQQ260702P00480000,QQQ,480.0,2026-07-02,put,0.01,1,1.0,736.95,2,1.7584,-0.0004,1.5e-05,-0.0337,0.0008,-0.0,2026-06-30T19:47:06.685731Z,2026-06-30T19:47:07.059338Z
QQQ260702P00485000,QQQ,484.99999999999994,2026-07-02,put,0.01,30,30.0,737.4,2,1.7206,-0.0004,1.5e-05,-0.0336,0.0008,-0.0,2026-06-30T19:13:23.350713Z,2026-06-30T19:13:51.842484Z
QQQ260702P00490000,QQQ,490.0,2026-07-02,put,0.01,3,3.0,731.73,2,1.652,-0.0004,1.7e-05,-0.0335,0.0008,-0.0,2026-06-30T14:17:53.956582Z,2026-06-30T14:18:21.937129Z
QQQ260702C00495000,QQQ,495.00000000000006,2026-07-02,call,233.9,1,23390.0,728.55,1,3.1298,0.9927,0.00017,-1.2562,0.0077,0.0134,2026-07-01T16:51:46.222977Z,2026-07-01T16:51:49.388819Z
QQQ260702P00495000,QQQ,495.00000000000006,2026-07-02,put,0.01,37,37.0,731.69,2,1.6125,-0.0004,1.8e-05,-0.0334,0.0008,-0.0,2026-06-30T14:49:42.545821Z,2026-06-30T14:50:09.038100Z
QQQ260702C00500000,QQQ,500.0,2026-07-02,call,228.57,5,114285.0,728.36,1,2.8354,0.9955,0.000123,-0.7651,0.005,0.0136,2026-07-01T19:32:49.489491Z,2026-07-01T19:32:52.975708Z
QQQ260702P00500000,QQQ,500.0,2026-07-02,put,0.01,32,33.0,725.27,1,2.1777,-0.0004,1.9e-05,-0.0664,0.0006,-0.0,2026-07-01T20:14:01.958025Z,2026-07-01T20:14:13.825588Z
QQQ260702C00505000,QQQ,504.99999999999994,2026-07-02,call,222.49,8,177992.0,727.9652,1,,,,,,,2026-07-01T19:07:30.174282Z,2026-07-01T19:07:51.489648Z
QQQ260702P00505000,QQQ,504.99999999999994,2026-07-02,put,0.01,2504,2504.0,736.09,2,1.5575,-0.0004,1.9e-05,-0.0333,0.0009,-0.0,2026-06-30T20:13:28.192054Z,2026-06-30T20:13:37.682749Z
QQQ260702C00510000,QQQ,510.0,2026-07-02,call,220.37,1,22037.0,729.76,1,3.1756,0.9874,0.000268,-2.0211,0.0124,0.0137,2026-07-01T14:06:09.650823Z,2026-07-01T14:06:28.571626Z
QQQ260702P00510000,QQQ,510.0,2026-07-02,put,0.01,3,3.0,731.66,2,1.4964,-0.0005,2e-05,-0.0331,0.0009,-0.0,2026-06-30T14:16:35.241040Z,2026-06-30T14:16:48.547312Z
QQQ260702P00515000,QQQ,515.0,2026-07-02,put,0.01,1,1.0,725.97,1,2.0202,-0.0005,2.2e-05,-0.0659,0.0007,-0.0,2026-07-01T19:53:16.854832Z,2026-07-01T19:53:21.442286Z
QQQ260702P00520000,QQQ,520.0,2026-07-02,put,0.01,39,39.0,726.01,1,1.9672,-0.0005,2.4e-05,-0.0657,0.0007,-0.0,2026-07-01T19:55:45.041124Z,2026-07-01T19:55:53.942801Z
QQQ260702C00525000,QQQ,525.0,2026-07-02,call,203.59,29,593217.0,728.52,1,2.0179,0.9992,3.6e-05,-0.1583,0.001,0.0144,2026-07-01T14:51:37.982200Z,2026-07-01T14:51:55.688918Z
QQQ260702P00525000,QQQ,525.0,2026-07-02,put,0.01,392,392.0,726.53,1,1.9182,-0.0005,2.5e-05,-0.0655,0.0007,-0.0,2026-07-01T19:48:05.769605Z,2026-07-01T19:48:13.784048Z
QQQ260702C00530000,QQQ,530.0,2026-07-02,call,206.25,2,41250.0,735.91,2,1.8502,0.9931,0.000189,-0.5325,0.0104,0.0287,2026-06-30T16:57:06.289585Z,2026-06-30T16:57:24.666469Z
QQQ260702P00530000,QQQ,530.0,2026-07-02,put,0.01,1533,1534.0,726.53,1,1.8658,-0.0005,2.6e-05,-0.0653,0.0007,-0.0,2026-07-01T19:48:06.942777Z,2026-07-01T19:48:13.784048Z
QQQ260702C00535000,QQQ,535.0,2026-07-02,call,205.33,10,205330.0,,14,,,,,,,2026-06-18T18:55:30.434633Z,2026-06-18T18:56:01.158805Z
QQQ260702P00535000,QQQ,535.0,2026-07-02,put,0.02,6940,6941.0,726.65,1,1.9185,-0.001,4.5e-05,-0.119,0.0012,-0.0,2026-07-01T19:46:47.019170Z,2026-07-01T19:47:12.258377Z
QQQ260702C00540000,QQQ,540.0,2026-07-02,call,189.77,1,18977.0,729.15,1,2.7233,0.9853,0.000358,-1.9844,0.0142,0.0145,2026-07-01T16:36:32.025578Z,2026-07-01T16:36:32.174866Z
QQQ260702P00540000,QQQ,540.0,2026-07-02,put,0.01,1903,1908.0,727.85,1,1.772,-0.0005,2.9e-05,-0.0649,0.0007,-0.0,2026-07-01T19:28:58.793922Z,2026-07-01T19:29:18.352816Z
QQQ260702C00545000,QQQ,545.0,2026-07-02,call,196.33,2,39266.0,740.69,14,,,,,,,2026-06-18T19:52:45.298848Z,2026-06-18T19:53:04.763948Z
