ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
SPY260702C00480000,SPY,480.0,2026-07-02,call,268.86,3,80688.0,749.11,15,,,,,,,2026-06-17T15:12:12.751578Z,2026-06-17T15:12:28.119511Z
SPY260702P00480000,SPY,480.0,2026-07-02,put,0.01,1,1.0,747.94,1,2.564,-0.0004,1.3e-05,-0.0678,0.0005,-0.0,2026-07-01T15:13:20.535783Z,2026-07-01T15:13:33.705735Z
SPY260702P00485000,SPY,484.99999999999994,2026-07-02,put,0.01,10000,10000.0,731.53,6,0.9768,-0.0004,1.6e-05,-0.0112,0.0014,-0.0001,2026-06-26T19:06:30.441689Z,2026-06-26T19:06:53.428094Z
SPY260702P00490000,SPY,490.0,2026-07-02,put,0.01,100,100.0,731.5,8,0.8264,-0.0004,1.7e-05,-0.0083,0.0016,-0.0001,2026-06-24T19:44:58.145773Z,2026-06-24T19:45:10.111779Z
SPY260702P00495000,SPY,495.00000000000006,2026-07-02,put,0.01,983,988.0,732.75,8,0.8099,-0.0004,1.7e-05,-0.0083,0.0017,-0.0001,2026-06-24T19:59:59.934052Z,2026-06-24T20:00:29.592057Z
SPY260702C00500000,SPY,500.0,2026-07-02,call,234.21,22,514857.0,733.045,6,1.4871,0.9821,0.000312,-0.5414,0.0409,0.0798,2026-06-26T19:53:21.199032Z,2026-06-26T19:53:42.116506Z
SPY260702P00500000,SPY,500.0,2026-07-02,put,0.01,10,10.0,748.82,1,2.3474,-0.0004,1.6e-05,-0.0672,0.0006,-0.0,2026-07-01T15:26:45.385067Z,2026-07-01T15:26:59.414888Z
SPY260702P00505000,SPY,504.99999999999994,2026-07-02,put,0.01,4,4.0,736.15,3,1.2721,-0.0004,1.8e-05,-0.0222,0.001,-0.0,2026-06-29T14:01:22.440537Z,2026-06-29T14:01:44.921117Z
SPY260702C00510000,SPY,510.0,2026-07-02,call,220.04,1,22004.0,729.27,6,1.2923,0.9874,0.000266,-0.3595,0.03,0.0822,2026-06-26T13:44:40.994841Z,2026-06-26T13:44:59.669398Z
SPY260702P00510000,SPY,510.0,2026-07-02,put,0.01,4995,4995.0,732.21,6,0.8663,-0.0005,2e-05,-0.011,0.0015,-0.0001,2026-06-26T19:12:57.373512Z,2026-06-26T19:12:59.116994Z
SPY260702P00515000,SPY,515.0,2026-07-02,put,0.02,90,180.0,737.36,9,0.7418,-0.0008,3.3e-05,-0.0134,0.0033,-0.0002,2026-06-23T16:32:29.918849Z,2026-06-23T16:32:58.557702Z
SPY260702C00520000,SPY,520.0,2026-07-02,call,227.5,2,45500.0,746.42,14,0.8542,0.9873,0.000253,-0.1775,0.0462,0.1954,2026-06-18T14:25:56.104992Z,2026-06-18T14:26:12.082414Z
SPY260702P00520000,SPY,520.0,2026-07-02,put,0.01,4,4.0,732.9,6,0.8247,-0.0005,2.2e-05,-0.011,0.0016,-0.0001,2026-06-26T19:19:10.281003Z,2026-06-26T19:19:36.413498Z
SPY260702C00525000,SPY,525.0,2026-07-02,call,223.05,50,1115250.0,746.97,14,0.8339,0.9872,0.000261,-0.1758,0.0466,0.1973,2026-06-18T19:43:13.875032Z,2026-06-18T19:43:46.740493Z
SPY260702C00530000,SPY,530.0,2026-07-02,call,218.25,52,1134550.0,746.97,14,0.8505,0.9838,0.000317,-0.2129,0.0577,0.1981,2026-06-18T19:43:13.883147Z,2026-06-18T19:43:46.740493Z
SPY260702P00530000,SPY,530.0,2026-07-02,put,0.01,50,50.0,748.0,1,2.022,-0.0005,2.1e-05,-0.0662,0.0007,-0.0,2026-07-01T16:54:26.069923Z,2026-07-01T16:54:54.868366Z
SPY260702P00535000,SPY,535.0,2026-07-02,put,0.01,115,115.0,734.24,6,0.7647,-0.0005,2.5e-05,-0.0109,0.0017,-0.0001,2026-06-26T18:13:17.461606Z,2026-06-26T18:13:18.731234Z
SPY260702P00540000,SPY,540.0,2026-07-02,put,0.02,400,710.0,733.2,6,0.7829,-0.001,4.4e-05,-0.0198,0.003,-0.0001,2026-06-26T19:44:44.711763Z,2026-06-26T19:45:00.004691Z
SPY260702P00545000,SPY,545.0,2026-07-02,put,0.01,258,258.0,733.92,6,0.7219,-0.0005,2.8e-05,-0.0108,0.0018,-0.0001,2026-06-26T16:16:09.147395Z,2026-06-26T16:16:24.953531Z
SPY260702P00550000,SPY,550.0,2026-07-02,put,0.02,264,516.0,734.65,8,0.6445,-0.001,4.8e-05,-0.0147,0.0037,-0.0002,2026-06-24T17:14:54.272850Z,2026-06-24T17:14:54.425465Z
SPY260702C00555000,SPY,555.0,2026-07-02,call,198.87,2,39774.0,754.43,17,,,,,,,2026-06-15T20:00:05.291987Z,2026-06-15T20:00:36.741470Z
SPY260702P00555000,SPY,555.0,2026-07-02,put,0.01,15,15.0,734.95,6,0.6838,-0.0006,3.1e-05,-0.0107,0.0019,-0.0001,2026-06-26T17:03:26.958088Z,2026-06-26T17:03:39.288128Z
SPY260702P00560000,SPY,560.0,2026-07-02,put,0.01,118,118.0,740.52,3,0.961,-0.0006,3.1e-05,-0.0215,0.0013,-0.0,2026-06-29T19:16:35.574735Z,2026-06-29T19:16:53.289225Z
SPY260702P00565000,SPY,565.0,2026-07-02,put,0.01,25,25.0,737.35,3,0.919,-0.0006,3.4e-05,-0.0214,0.0014,-0.0,2026-06-29T15:17:50.325574Z,2026-06-29T15:17:54.794580Z
SPY260702P00570000,SPY,570.0,2026-07-02,put,0.02,9,17.0,732.9,6,0.6529,-0.0011,6.2e-05,-0.0193,0.0036,-0.0001,2026-06-26T19:19:09.348698Z,2026-06-26T19:19:36.413498Z
SPY260702P00575000,SPY,575.0,2026-07-02,put,0.01,4,4.0,738.4,3,0.867,-0.0006,3.8e-05,-0.0212,0.0015,-0.0,2026-06-29T16:49:34.378225Z,2026-06-29T16:49:50.602409Z
SPY260702P00580000,SPY,580.0,2026-07-02,put,0.01,4,4.0,739.99,3,0.8458,-0.0006,4e-05,-0.0212,0.0015,-0.0,2026-06-29T17:18:05.913479Z,2026-06-29T17:18:23.635292Z
SPY260702P00585000,SPY,585.0,2026-07-02,put,0.01,9,9.0,740.74,3,0.8213,-0.0007,4.2e-05,-0.0211,0.0015,-0.0,2026-06-29T19:11:59.193337Z,2026-06-29T19:12:14.434763Z
SPY260702C00590000,SPY,590.0,2026-07-02,call,150.32,4,60050.0,740.11,20,,,,,,,2026-06-12T14:37:09.715473Z,2026-06-12T14:37:36.602146Z
SPY260702P00590000,SPY,590.0,2026-07-02,put,0.01,26,27.0,740.74,3,0.7937,-0.0007,4.5e-05,-0.021,0.0016,-0.0,2026-06-29T19:11:49.585072Z,2026-06-29T19:12:14.434763Z
SPY260702P00595000,SPY,595.0,2026-07-02,put,0.01,1,1.0,743.08,1,1.3438,-0.0007,4.6e-05,-0.063,0.0009,-0.0,2026-07-01T13:39:51.006466Z,2026-07-01T13:39:59.590562Z
SPY260702C00600000,SPY,600.0,2026-07-02,call,143.43,1,14343.0,744.03,2,,,,,,,2026-06-30T14:26:31.890556Z,2026-06-30T14:26:32.918173Z
SPY260702P00600000,SPY,600.0,2026-07-02,put,0.01,1,1.0,746.55,2,0.9354,-0.0007,4.7e-05,-0.0314,0.0013,-0.0,2026-06-30T18:02:36.086141Z,2026-06-30T18:02:50.564729Z
SPY260702C00605000,SPY,605.0,2026-07-02,call,132.93,1,13293.0,737.15,3,1.1131,0.9777,0.00071,-0.7017,0.0353,0.0483,2026-06-29T13:58:46.342106Z,2026-06-29T13:59:08.932400Z
SPY260702P00605000,SPY,605.0,2026-07-02,put,0.01,31,56.0,740.58,3,0.7114,-0.0008,5.5e-05,-0.0207,0.0018,-0.0,2026-06-29T18:39:13.950970Z,2026-06-29T18:39:25.443491Z
