id,ts,underlying,ticker,strike,expiry,contract_type,last_price,volume,premium,underlying_price,dte,iv,delta,gamma,theta,vega,rho
226621620,2026-07-10T20:00:13.574461Z,TSLA,TSLA260717C00200000,200.0,2026-07-17,call,208.4,5,104200.0,407.62,7,2.4442,0.9886,0.000217,-0.3194,0.0169,0.0373
226621283,2026-07-10T20:00:12.986160Z,TSLA,TSLA260821P00375000,375.0,2026-08-21,put,11.3,30,33900.0,407.62,42,0.4712,-0.263,0.005008,-0.2385,0.4512,-0.1364
226620923,2026-07-10T20:00:12.386401Z,TSLA,TSLA260713P00402500,402.5,2026-07-13,put,2.35,250,58750.0,407.62,3,0.3074,-0.3153,0.031285,-0.6568,0.1313,-0.0108
226620264,2026-07-10T20:00:11.306601Z,TSLA,TSLA260821C00400000,400.0,2026-08-21,call,30.3,10,30300.0,407.62,42,0.4621,0.5917,0.006078,-0.3214,0.537,0.2426
226619369,2026-07-10T20:00:06.931054Z,TSLA,TSLA260717P00400000,400.0,2026-07-17,put,6.06,50,30300.0,407.62,7,0.4268,-0.3582,0.015499,-0.624,0.2108,-0.0292
226619368,2026-07-10T20:00:06.929280Z,TSLA,TSLA260717P00397500,397.5,2026-07-17,put,5.21,50,26050.0,407.62,7,0.4293,-0.3202,0.01476,-0.6025,0.2019,-0.026
226616809,2026-07-10T19:59:31.595146Z,TSLA,TSLA260717P00400000,400.0,2026-07-17,put,6.08,50,30400.0,407.62,7,0.4278,-0.3584,0.015469,-0.6256,0.2109,-0.0292
226616807,2026-07-10T19:59:31.592575Z,TSLA,TSLA260717C00425000,425.0,2026-07-17,call,3.47,104,36088.0,407.62,7,0.4217,0.2511,0.01338,-0.5538,0.1798,0.019
226615911,2026-07-10T19:59:29.123521Z,TSLA,TSLA260717C00230000,230.0,2026-07-17,call,177.97,7,124579.0,407.62,7,1.6709,0.9952,0.000147,-0.1214,0.0078,0.0437
226613683,2026-07-10T19:59:25.234215Z,TSLA,TSLA260717C00415000,415.0,2026-07-17,call,6.41,75,48075.0,407.52,7,0.4206,0.3942,0.016212,-0.6716,0.2172,0.0296
226613387,2026-07-10T19:59:24.755646Z,TSLA,TSLA260821P00405000,405.0,2026-08-21,put,23.21,50,116050.0,407.52,42,0.4646,-0.44,0.006141,-0.2766,0.5452,-0.233
226611438,2026-07-10T19:59:21.302991Z,TSLA,TSLA260717P00400000,400.0,2026-07-17,put,6.11,100,61100.0,407.52,7,0.4275,-0.3599,0.015505,-0.6258,0.2111,-0.0293
226610157,2026-07-10T19:59:19.111709Z,TSLA,TSLA270617C00500000,500.0,2027-06-17,call,52.7,11,57970.0,407.52,342,0.4949,0.4604,0.002033,-0.1299,1.566,1.2643
226610156,2026-07-10T19:59:19.110767Z,TSLA,TSLA270115C00400000,400.0,2027-01-15,call,63.35,4,25340.0,407.52,189,0.4787,0.6156,0.002722,-0.165,1.1204,0.971
226609563,2026-07-10T19:59:18.065732Z,TSLA,TSLA270617C00500000,500.0,2027-06-17,call,52.7,13,68510.0,407.52,342,0.4949,0.4604,0.002033,-0.1299,1.566,1.2643
226609544,2026-07-10T19:59:18.045077Z,TSLA,TSLA260715C00415000,415.0,2026-07-15,call,4.61,64,29504.0,407.52,5,0.4005,0.3626,0.019632,-0.7342,0.1789,0.0196
226608976,2026-07-10T19:59:17.088255Z,TSLA,TSLA260713P00412500,412.5,2026-07-13,put,7.37,40,29480.0,407.52,3,0.3072,-0.6587,0.032327,-0.6602,0.1356,-0.0227
226608971,2026-07-10T19:59:17.082084Z,TSLA,TSLA260713C00412500,412.5,2026-07-13,call,2.53,161,40733.0,407.52,3,0.3063,0.3408,0.032407,-0.7086,0.1355,0.0112
226608662,2026-07-10T19:59:16.530294Z,TSLA,TSLA270617C00480000,480.0,2027-06-17,call,58.25,12,69900.0,407.52,342,0.4941,0.494,0.002047,-0.1313,1.5735,1.3406
226608660,2026-07-10T19:59:16.528499Z,TSLA,TSLA260821P00405000,405.0,2026-08-21,put,23.25,25,58125.0,407.52,42,0.4653,-0.44,0.006132,-0.2771,0.5452,-0.2331
