ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
MU260702C00040000,MU,40.0,2026-07-02,call,1041.51,6.0,627982.0,1080.37,1,4.23,1.0,0.0,-0.0056,0.0,0.0153,2026-07-01T14:21:48.058147Z,2026-07-01T14:21:59.092906Z,True,-0.0
MU260702P00065000,MU,65.0,2026-07-02,put,0.01,4.0,4.0,1149.56,2,4.9451,-0.0,0.0,-0.0076,0.0003,-0.0,2026-06-30T14:41:02.460187Z,2026-06-30T14:41:22.369289Z,False,-0.0
MU260702P00070000,MU,70.0,2026-07-02,put,0.01,19.0,19.0,1139.45,3,4.2147,-0.0001,0.0,-0.01,0.0007,-0.0,2026-06-29T18:49:19.174181Z,2026-06-29T18:49:42.265144Z,False,-0.0
MU260702P00075000,MU,75.0,2026-07-02,put,0.01,1.0,1.0,1149.56,2,4.1067,-0.0001,0.0,-0.01,0.0007,-0.0,2026-06-30T14:41:21.411776Z,2026-06-30T14:41:22.369289Z,False,-0.0
MU260702P00080000,MU,80.0,2026-07-02,put,0.01,9.0,9.0,1137.45,3,4.7396,-0.0005,2e-06,-0.0633,0.0037,-0.0003,2026-06-29T18:47:13.095801Z,2026-06-29T18:47:37.843497Z,False,-24.3219646152
MU260702P00085000,MU,85.0,2026-07-02,put,0.01,9.0,9.0,1134.66,3,4.0326,-0.0001,0.0,-0.0143,0.001,-0.0001,2026-06-29T18:45:36.629803Z,2026-06-29T18:46:04.927079Z,False,-0.0
MU260702P00090000,MU,90.0,2026-07-02,put,0.01,9.0,9.0,1133.77,3,4.4193,-0.0004,2e-06,-0.0507,0.0032,-0.0002,2026-06-29T18:44:24.868298Z,2026-06-29T18:44:34.022605Z,False,-24.3219646152
MU260702P00095000,MU,95.0,2026-07-02,put,0.01,23.0,205.0,1157.49,2,4.7567,-0.0001,1e-06,-0.0174,0.0006,-0.0,2026-06-30T17:04:30.260656Z,2026-06-30T17:04:33.240250Z,False,-31.0780658972
MU260702P00105000,MU,105.0,2026-07-02,put,0.05,1.0,5.0,1057.25,1,4.3896,-0.0001,1e-06,-0.0156,0.0006,-0.0,2026-07-01T14:42:59.165135Z,2026-07-01T14:43:10.534644Z,False,-1.3512202564
MU260702C00110000,MU,110.0,2026-07-02,call,883.47,2.0,176694.0,992.62,20,3.7963,0.9983,6e-06,-0.1361,0.0129,0.0589,2026-06-12T15:54:23.181222Z,2026-06-12T15:54:30.524288Z,True,-16.2146430768
MU260702P00110000,MU,110.0,2026-07-02,put,0.01,28.0,224.0,1156.78,2,4.9795,-0.0005,2e-06,-0.0814,0.0033,-0.0002,2026-06-30T17:06:59.131112Z,2026-06-30T17:07:06.831282Z,False,-75.6683343584
MU260702P00115000,MU,115.0,2026-07-02,put,0.05,1.0,5.0,1065.79,1,4.9985,-0.0001,0.0,-0.0127,0.0003,-0.0,2026-07-01T14:40:34.541394Z,2026-07-01T14:40:36.008908Z,False,-0.0
MU260702P00120000,MU,120.0,2026-07-02,put,0.01,21.0,169.0,1155.57,2,4.4086,-0.0002,1e-06,-0.0249,0.0009,-0.0,2026-06-30T17:05:40.261806Z,2026-06-30T17:06:06.081482Z,False,-28.3756253844
MU260702P00125000,MU,125.0,2026-07-02,put,0.02,17.0,147.0,1157.29,2,4.3235,-0.0002,1e-06,-0.0249,0.0009,-0.0,2026-06-30T17:07:56.557367Z,2026-06-30T17:08:09.640312Z,False,-22.970744358799998
MU260702P00130000,MU,130.0,2026-07-02,put,0.02,17.0,141.0,1157.29,2,4.7585,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-30T17:08:16.246098Z,2026-06-30T17:08:40.178380Z,False,-0.0
MU260702P00135000,MU,135.0,2026-07-02,put,0.01,13.0,13.0,1155.57,2,4.6833,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-30T17:05:39.107539Z,2026-06-30T17:06:06.081482Z,False,-0.0
MU260702P00140000,MU,140.0,2026-07-02,put,0.01,10024.0,10071.0,1147.02,6,4.5958,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-26T18:53:07.357046Z,2026-06-26T18:53:32.822882Z,False,-0.0
MU260702P00145000,MU,145.0,2026-07-02,put,0.01,10192.0,10253.0,1152.49,6,4.5277,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-06-26T19:17:08.134036Z,2026-06-26T19:17:34.190571Z,False,-0.0
MU260702P00150000,MU,150.0,2026-07-02,put,0.01,3.0,3.0,1041.33,1,4.4584,-0.0001,0.0,-0.0128,0.0003,-0.0,2026-07-01T18:43:22.108272Z,2026-07-01T18:43:43.970013Z,False,-0.0
MU260702P00155000,MU,155.0,2026-07-02,put,0.02,1.0,2.0,1129.86,2,4.582,-0.0001,1e-06,-0.0237,0.0006,-0.0,2026-06-30T13:45:02.413951Z,2026-06-30T13:45:07.977918Z,False,-1.3512202564
MU260702P00160000,MU,160.0,2026-07-02,put,0.01,1.0,1.0,1078.96,1,4.6522,-0.0002,1e-06,-0.0338,0.0009,-0.0,2026-07-01T13:32:38.692712Z,2026-07-01T13:33:07.564688Z,False,-1.3512202564
MU260702P00165000,MU,165.0,2026-07-02,put,0.01,7.0,7.0,1142.22,2,4.6071,-0.0002,1e-06,-0.0339,0.0009,-0.0,2026-06-30T13:30:49.032803Z,2026-06-30T13:31:01.281321Z,False,-9.4585417948
MU260702P00170000,MU,170.0,2026-07-02,put,0.01,328.0,922.0,1126.0,3,4.6347,-0.0002,1e-06,-0.0436,0.0011,-0.0,2026-06-29T19:07:31.166386Z,2026-06-29T19:07:36.866342Z,False,-443.20024409920006
MU260702P00175000,MU,175.0,2026-07-02,put,0.03,2.0,17.0,1055.0,1,4.5954,-0.0002,1e-06,-0.0437,0.0011,-0.0,2026-07-01T14:47:04.469283Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702P00180000,MU,180.0,2026-07-02,put,0.01,291.0,967.0,1131.32,3,4.4311,-0.0002,1e-06,-0.034,0.0009,-0.0,2026-06-29T19:44:29.570617Z,2026-06-29T19:45:00.699141Z,False,-393.2050946124
MU260702P00185000,MU,185.0,2026-07-02,put,0.03,141.0,349.0,1134.17,3,4.3365,-0.0002,1e-06,-0.0339,0.0009,-0.0,2026-06-29T19:45:39.279152Z,2026-06-29T19:46:01.424672Z,False,-190.5220561524
MU260702P00190000,MU,190.0,2026-07-02,put,0.06,84.0,252.0,1136.07,3,4.9605,-0.0009,4e-06,-0.1812,0.0044,-0.0002,2026-06-29T18:53:12.189000Z,2026-06-29T18:53:16.058548Z,False,-454.0100061504
MU260702P00195000,MU,195.0,2026-07-02,put,0.04,2.0,18.0,1093.05,1,4.3012,-0.0002,1e-06,-0.0436,0.0012,-0.0,2026-07-01T13:51:49.782908Z,2026-07-01T13:52:03.410276Z,False,-2.7024405128
MU260702C00200000,MU,200.0,2026-07-02,call,978.63,10.0,978630.0,1178.47,6,3.9164,0.9999,1e-06,-0.0399,0.0005,0.0328,2026-06-26T17:24:16.172937Z,2026-06-26T17:24:27.452007Z,True,-13.512202564000003
MU260702P00200000,MU,200.0,2026-07-02,put,0.01,2.0,2.0,1147.12,2,3.9721,-0.0001,1e-06,-0.0236,0.0007,-0.0,2026-06-30T14:16:52.254095Z,2026-06-30T14:17:19.400049Z,False,-2.7024405128
MU260702P00205000,MU,205.0,2026-07-02,put,0.01,4.0,33.0,1055.0,1,4.0914,-0.0002,1e-06,-0.0339,0.001,-0.0,2026-07-01T14:47:04.958640Z,2026-07-01T14:47:18.449110Z,False,-5.4048810256
MU260702P00210000,MU,210.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.0704,-0.0002,1e-06,-0.034,0.001,-0.0,2026-07-01T14:47:05.283990Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702P00215000,MU,215.0,2026-07-02,put,0.01,58.0,256.0,1136.79,3,4.8743,-0.0001,1e-06,-0.0253,0.0003,-0.0,2026-06-29T19:42:05.726610Z,2026-06-29T19:42:27.555717Z,False,-78.3707748712
MU260702P00220000,MU,220.0,2026-07-02,put,0.01,4.0,33.0,1055.0,1,4.2906,-0.0005,3e-06,-0.0882,0.0025,-0.0001,2026-07-01T14:47:04.799471Z,2026-07-01T14:47:18.449110Z,False,-16.2146430768
MU260702P00225000,MU,225.0,2026-07-02,put,0.01,26.0,26.0,1128.69,3,4.9896,-0.0001,1e-06,-0.0256,0.0003,-0.0,2026-06-29T19:55:49.314401Z,2026-06-29T19:56:17.608739Z,False,-35.1317266664
MU260702P00230000,MU,230.0,2026-07-02,put,0.04,2.0,18.0,1093.05,1,4.9079,-0.0001,1e-06,-0.0256,0.0003,-0.0,2026-07-01T13:51:47.863074Z,2026-07-01T13:52:03.410276Z,False,-2.7024405128
MU260702P00235000,MU,235.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.6009,-0.0001,1e-06,-0.0253,0.0003,-0.0,2026-07-01T14:47:05.824161Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702P00240000,MU,240.0,2026-07-02,put,0.07,17.0,119.0,1136.79,3,3.8047,-0.0002,2e-06,-0.0436,0.0014,-0.0001,2026-06-29T19:42:04.580291Z,2026-06-29T19:42:27.555717Z,False,-45.941488717599995
MU260702P00245000,MU,245.0,2026-07-02,put,0.1,3.0,27.0,1083.39,1,4.9723,-0.0001,1e-06,-0.0473,0.0006,-0.0,2026-07-01T14:19:27.165710Z,2026-07-01T14:19:57.005028Z,False,-4.0536607692
MU260702P00250000,MU,250.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.6673,-0.0001,1e-06,-0.0256,0.0003,-0.0,2026-07-01T14:47:05.153842Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702P00255000,MU,255.0,2026-07-02,put,0.01,12.0,60.0,1044.24,1,4.8344,-0.0001,1e-06,-0.0472,0.0006,-0.0,2026-07-01T18:58:38.192658Z,2026-07-01T18:59:06.930490Z,False,-16.2146430768
