ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
TSLA260702P00080000,TSLA,80.0,2026-07-02,put,0.01,1.0,1.0,389.25,9,3.0445,-0.0002,4e-06,-0.0075,0.0004,-0.0,2026-06-23T14:37:44.517186Z,2026-06-23T14:37:54.910488Z,False,-0.6941222595999998
TSLA260702P00090000,TSLA,90.0,2026-07-02,put,0.1,1.0,10.0,373.25,7,3.8088,-0.0015,2.5e-05,-0.0697,0.0026,-0.0001,2026-06-25T15:13:32.124535Z,2026-06-25T15:13:49.546269Z,False,-4.3382641225
TSLA260702C00100000,TSLA,100.0,2026-07-02,call,273.98,2.0,54808.0,373.3,7,4.3781,0.9934,8.2e-05,-0.3119,0.0096,0.0186,2026-06-25T19:29:53.660443Z,2026-06-25T19:29:55.595320Z,True,-28.459012643600005
TSLA260702P00100000,TSLA,100.0,2026-07-02,put,0.01,5.0,41.0,373.96,7,2.8953,-0.0002,6e-06,-0.0096,0.0005,-0.0,2026-06-25T15:19:11.380698Z,2026-06-25T15:19:28.740487Z,False,-5.2059169469999995
TSLA260702C00110000,TSLA,110.0,2026-07-02,call,264.0,2.0,52820.0,373.3,7,4.0853,0.9927,9.5e-05,-0.3167,0.0104,0.0204,2026-06-25T19:29:53.765965Z,2026-06-25T19:29:55.595320Z,True,-32.970807331
TSLA260702P00110000,TSLA,110.0,2026-07-02,put,0.01,2.0,2.0,386.48,6,2.9754,-0.0002,6e-06,-0.0112,0.0005,-0.0,2026-06-26T15:50:57.239239Z,2026-06-26T15:51:23.308221Z,False,-2.0823667788000004
TSLA260702P00120000,TSLA,120.0,2026-07-02,put,0.01,1.0,1.0,381.15,8,2.3783,-0.0003,7e-06,-0.0084,0.0006,-0.0,2026-06-24T16:03:55.165184Z,2026-06-24T16:04:09.204574Z,False,-1.2147139543
TSLA260702P00130000,TSLA,130.0,2026-07-02,put,0.01,32919.0,32921.0,385.85,6,2.5872,-0.0003,8e-06,-0.0111,0.0005,-0.0,2026-06-26T17:48:51.514672Z,2026-06-26T17:48:51.540815Z,False,-45699.621327544795
TSLA260702P00140000,TSLA,140.0,2026-07-02,put,0.01,339.0,339.0,408.57,3,3.5874,-0.0003,8e-06,-0.0224,0.0004,-0.0,2026-06-29T17:58:08.184241Z,2026-06-29T17:58:34.550386Z,False,-470.61489200880004
TSLA260702C00150000,TSLA,150.0,2026-07-02,call,277.12,4.0,110848.0,426.82,1,2.7877,0.9931,0.000122,-0.2065,0.0108,0.0322,2026-07-01T14:23:13.759722Z,2026-07-01T14:23:32.132673Z,True,-84.68291567119999
TSLA260702P00150000,TSLA,150.0,2026-07-02,put,0.01,9401.0,9401.0,381.08,6,2.2319,-0.0003,1.1e-05,-0.011,0.0006,-0.0,2026-06-26T19:55:35.806857Z,2026-06-26T19:55:43.518861Z,False,-17944.9692468739
TSLA260702P00160000,TSLA,160.0,2026-07-02,put,0.01,14.0,14.0,414.25,2,3.9145,-0.0003,9e-06,-0.0335,0.0003,-0.0,2026-06-30T14:54:47.272816Z,2026-06-30T14:55:13.312627Z,False,-21.864851177400002
TSLA260702C00170000,TSLA,170.0,2026-07-02,call,209.8,4.0,83759.0,379.36,6,2.7174,0.9934,0.000139,-0.2234,0.009,0.0275,2026-06-26T18:51:54.782687Z,2026-06-26T18:51:59.153616Z,True,-96.4829940844
