timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-24,PLTR.US,call,37.0,2024-10-15,buy,1.6099,429,0.0,2024-09-24
2024-09-25,PLTR.US,call,37.0,2024-10-15,close,1.6624,429,2253.269,2024-09-24
2024-10-08,SMCI.US,call,45.0,2024-10-29,buy,4.4637,169,0.0,2024-10-08
2024-10-15,SMCI.US,call,45.0,2024-10-29,close,4.4452,169,-312.3992,2024-10-08
2024-10-25,SOFI.US,call,11.0,2024-11-15,buy,0.4989,500,0.0,2024-10-25
2024-10-31,SOFI.US,call,11.0,2024-11-15,close,0.5854,500,4323.2281,2024-10-25
2025-01-28,SOFI.US,call,16.0,2025-02-18,buy,1.1745,500,0.0,2025-01-28
2025-01-29,SOFI.US,call,16.0,2025-02-18,close,1.0499,500,-6231.0763,2025-01-28
2025-02-11,HOOD.US,call,53.0,2025-03-04,buy,3.211,235,0.0,2025-02-11
2025-02-18,HOOD.US,call,53.0,2025-03-04,close,8.2179,235,117663.5673,2025-02-11
2025-02-25,SMCI.US,call,46.0,2025-03-18,buy,5.0093,145,0.0,2025-02-25
2025-03-03,SMCI.US,call,46.0,2025-03-18,close,1.269,145,-54233.9548,2025-02-25
