timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,145.0,2024-10-11,buy,10.5675,106,0.0,2024-09-20
2024-09-24,MSTR.US,call,145.0,2024-10-11,close,15.036,106,47366.962,2024-09-20
2024-10-15,MSTR.US,call,194.0,2024-11-05,buy,15.6238,61,0.0,2024-10-15
2024-10-16,MSTR.US,call,194.0,2024-11-05,close,15.1487,61,-2898.2052,2024-10-15
2024-10-23,COIN.US,call,199.0,2024-11-13,buy,13.6049,69,0.0,2024-10-23
2024-10-24,MARA.US,call,18.0,2024-11-14,buy,1.1506,500,0.0,2024-10-24
2024-10-28,MARA.US,call,18.0,2024-11-14,close,1.6422,500,24580.3022,2024-10-24
2024-10-30,COIN.US,call,199.0,2024-11-13,close,19.4861,69,40580.2923,2024-10-23
2024-11-26,MARA.US,call,25.0,2024-12-17,buy,3.2974,324,0.0,2024-11-26
2024-12-04,MARA.US,call,25.0,2024-12-17,close,3.2076,324,-2909.7002,2024-11-26
2025-01-23,MARA.US,call,20.0,2025-02-13,buy,1.6842,500,0.0,2025-01-23
2025-01-30,MARA.US,call,20.0,2025-02-13,close,0.9733,500,-35545.0026,2025-01-23
