timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-30,META.US,call,572.0,2024-10-30,buy,14.8662,13,0.0,2024-09-30
2024-10-02,META.US,call,572.0,2024-10-30,close,14.5904,13,-358.5023,2024-09-30
2024-10-30,QQQ.US,call,496.0,2024-11-29,buy,9.0738,15,0.0,2024-10-30
2024-10-31,QQQ.US,call,496.0,2024-11-29,close,3.7275,15,-8019.4763,2024-10-30
2024-11-12,META.US,call,585.0,2024-12-12,buy,18.2751,12,0.0,2024-11-12
2024-11-13,META.US,call,585.0,2024-12-12,close,15.5126,12,-3315.0151,2024-11-12
2025-02-06,AMZN.US,call,239.0,2025-03-08,buy,6.501,28,0.0,2025-02-06
2025-02-07,AMZN.US,call,239.0,2025-03-08,close,3.1942,28,-9259.0339,2025-02-06
2025-05-20,QQQ.US,call,520.0,2025-06-19,buy,26.1024,11,0.0,2025-05-20
2025-05-23,QQQ.US,call,520.0,2025-06-19,close,9.0723,11,-18733.1704,2025-05-20
2025-05-30,META.US,call,647.0,2025-06-29,buy,28.4987,9,0.0,2025-05-30
2025-06-06,META.US,call,647.0,2025-06-29,close,58.3008,9,26821.8274,2025-05-30
