timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-18,TSLA.US,call,227.0,2024-10-09,buy,12.4166,69,0.0,2024-09-18
2024-09-23,MU.US,call,94.0,2024-10-14,buy,4.3624,124,0.0,2024-09-23
2024-09-25,IONQ.US,call,8.0,2024-10-16,buy,0.2726,500,0.0,2024-09-25
2024-09-25,TSLA.US,call,227.0,2024-10-09,close,32.1147,69,135917.1962,2024-09-18
2024-09-30,MU.US,call,94.0,2024-10-14,close,11.2244,124,85088.1301,2024-09-23
2024-09-30,IONQ.US,call,8.0,2024-10-16,close,1.0611,500,39423.5476,2024-09-25
2024-10-01,IONQ.US,call,8.0,2024-10-22,buy,0.7941,500,0.0,2024-10-01
2024-10-07,IONQ.US,call,8.0,2024-10-22,close,1.3188,500,26232.3707,2024-10-01
2024-10-10,MU.US,call,106.0,2024-10-31,buy,6.0755,149,0.0,2024-10-10
2024-10-10,IONQ.US,call,10.0,2024-10-31,buy,0.7835,500,0.0,2024-10-10
2024-10-11,MU.US,call,106.0,2024-10-31,close,6.5948,149,7737.8327,2024-10-10
2024-10-15,MU.US,call,104.0,2024-11-05,buy,5.8688,132,0.0,2024-10-15
2024-10-17,MU.US,call,104.0,2024-11-05,close,10.7329,132,64206.3937,2024-10-15
2024-10-23,MU.US,call,105.0,2024-11-13,buy,5.8587,126,0.0,2024-10-23
2024-10-24,MU.US,call,105.0,2024-11-13,close,6.5851,126,9152.7554,2024-10-23
2024-10-31,IONQ.US,call,10.0,2024-10-31,exercise,5.03,500,212325.7374,2024-10-10
2024-11-15,TSLA.US,call,321.0,2024-12-06,buy,28.0772,31,0.0,2024-11-15
2024-11-19,TSLA.US,call,321.0,2024-12-06,close,40.819,31,39499.6567,2024-11-15
2024-11-25,MU.US,call,104.0,2024-12-16,buy,4.8341,132,0.0,2024-11-25
2024-11-27,MU.US,call,104.0,2024-12-16,close,1.7555,132,-40638.3951,2024-11-25
2024-12-18,MU.US,call,104.0,2025-01-08,buy,4.9554,112,0.0,2024-12-18
2024-12-19,MU.US,call,104.0,2025-01-08,close,1.0403,112,-43849.0298,2024-12-18
