timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-18,TSLA.US,call,239.0,2024-10-02,buy,5.3806,55,0.0,2024-09-18
2024-09-23,MU.US,call,98.0,2024-10-07,buy,1.9648,101,0.0,2024-09-23
2024-09-25,IONQ.US,call,8.0,2024-10-09,buy,0.1956,500,0.0,2024-09-25
2024-09-25,TSLA.US,call,239.0,2024-10-02,close,20.0241,55,80539.0899,2024-09-18
2024-09-30,MU.US,call,98.0,2024-10-07,close,7.0688,101,51550.5102,2024-09-23
2024-09-30,IONQ.US,call,8.0,2024-10-09,close,0.9266,500,36549.5446,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-15,buy,0.2803,500,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-15,close,0.5312,500,12544.9665,2024-10-01
2024-10-10,MU.US,call,111.0,2024-10-24,buy,2.9357,119,0.0,2024-10-10
2024-10-10,IONQ.US,call,10.0,2024-10-24,buy,0.6223,500,0.0,2024-10-10
2024-10-11,MU.US,call,111.0,2024-10-24,close,3.2297,119,3498.92,2024-10-10
2024-10-15,MU.US,call,110.0,2024-10-29,buy,2.4339,108,0.0,2024-10-15
2024-10-17,MU.US,call,110.0,2024-10-29,close,5.797,108,36320.9968,2024-10-15
2024-10-23,MU.US,call,110.0,2024-11-06,buy,2.7533,104,0.0,2024-10-23
2024-10-24,IONQ.US,call,10.0,2024-10-24,exercise,5.71,500,254386.3443,2024-10-10
2024-10-24,MU.US,call,110.0,2024-11-06,close,3.1769,104,4404.8889,2024-10-23
2024-11-15,TSLA.US,call,337.0,2024-11-29,buy,16.2628,26,0.0,2024-11-15
2024-11-19,TSLA.US,call,337.0,2024-11-29,close,25.4809,26,23966.9969,2024-11-15
2024-11-25,MU.US,call,110.0,2024-12-09,buy,1.6577,111,0.0,2024-11-25
2024-11-27,MU.US,call,110.0,2024-12-09,close,0.265,111,-15458.3104,2024-11-25
2024-12-18,MU.US,call,109.0,2025-01-01,buy,2.076,97,0.0,2024-12-18
2024-12-19,MU.US,call,109.0,2025-01-01,close,0.2093,97,-18107.0909,2024-12-18
