timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-10-24,MARA.US,call,20.0,2024-11-03,buy,0.1683,500,0.0,2024-10-24
2024-10-28,MARA.US,call,20.0,2024-11-03,close,0.2801,500,5590.1736,2024-10-24
2024-11-26,MARA.US,call,27.0,2024-12-06,buy,1.4939,500,0.0,2024-11-26
2024-12-04,MARA.US,call,27.0,2024-12-06,close,0.6544,500,-41975.1566,2024-11-26
2025-01-23,MARA.US,call,22.0,2025-02-02,buy,0.466,500,0.0,2025-01-23
2025-01-30,MARA.US,call,22.0,2025-02-02,close,0.0272,500,-21940.9939,2025-01-23
2025-05-02,MARA.US,call,16.0,2025-05-12,buy,0.4549,500,0.0,2025-05-02
2025-05-07,MARA.US,call,16.0,2025-05-12,close,0.036,500,-20945.3617,2025-05-02
2025-08-29,MARA.US,call,17.0,2025-09-08,buy,0.2398,500,0.0,2025-08-29
2025-09-08,MARA.US,call,17.0,2025-09-08,expire,0.0,500,-11992.0833,2025-08-29
2026-01-15,MARA.US,call,12.0,2026-01-25,buy,0.0805,500,0.0,2026-01-15
2026-01-26,MARA.US,call,12.0,2026-01-25,expire,0.0,500,-4027.222,2026-01-15
