timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,156.0,2024-09-30,buy,3.2517,159,0.0,2024-09-20
2024-09-24,MSTR.US,call,156.0,2024-09-30,close,5.0673,159,28868.8029,2024-09-20
2024-10-15,MSTR.US,call,210.0,2024-10-25,buy,4.906,90,0.0,2024-10-15
2024-10-16,MSTR.US,call,210.0,2024-10-25,close,4.3726,90,-4800.7008,2024-10-15
2025-01-27,MSTR.US,call,376.0,2025-02-06,buy,13.3576,46,0.0,2025-01-27
2025-01-28,MSTR.US,call,376.0,2025-02-06,close,7.9266,46,-24982.7804,2025-01-27
2025-03-21,MSTR.US,call,328.0,2025-03-31,buy,12.6162,29,0.0,2025-03-21
2025-03-25,MSTR.US,call,328.0,2025-03-31,close,26.9771,29,41646.756,2025-03-21
2025-05-12,MSTR.US,call,437.0,2025-05-22,buy,15.0352,40,0.0,2025-05-12
2025-05-19,MSTR.US,call,437.0,2025-05-22,close,5.9435,40,-36367.1164,2025-05-12
