timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,AMD.US,call,156.0,2024-10-20,buy,8.7988,50,0.0,2024-09-20
2024-09-23,AMD.US,call,156.0,2024-10-20,close,8.7062,50,-462.7098,2024-09-20
2024-10-10,AMD.US,call,164.0,2024-11-09,buy,9.0077,46,0.0,2024-10-10
2024-10-11,AMD.US,call,164.0,2024-11-09,close,11.0259,46,9283.9644,2024-10-10
2025-06-12,AMD.US,call,118.0,2025-07-12,buy,5.5613,61,0.0,2025-06-12
2025-06-13,AMD.US,call,118.0,2025-07-12,close,4.3407,61,-7445.5621,2025-06-12
2025-07-30,AMD.US,call,180.0,2025-08-29,buy,7.8856,38,0.0,2025-07-30
2025-08-04,AMD.US,call,180.0,2025-08-29,close,6.2928,38,-6052.8169,2025-07-30
2026-01-05,AMD.US,call,221.0,2026-02-04,buy,12.4078,29,0.0,2026-01-05
2026-01-08,AMD.US,call,221.0,2026-02-04,close,3.3685,29,-26214.1716,2026-01-05
