timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2025-02-06,AMZN.US,call,239.0,2025-02-27,buy,5.3588,66,0.0,2025-02-06
2025-02-07,AMZN.US,call,239.0,2025-02-27,close,2.1562,66,-21137.1611,2025-02-06
2025-07-08,AMZN.US,call,219.0,2025-07-29,buy,5.136,62,0.0,2025-07-08
2025-07-09,AMZN.US,call,219.0,2025-07-29,close,6.8934,62,10895.9462,2025-07-08
2025-09-10,AMZN.US,call,230.0,2025-10-01,buy,8.7544,54,0.0,2025-09-10
2025-09-12,AMZN.US,call,230.0,2025-10-01,close,7.1393,54,-8721.395,2025-09-10
2025-10-30,AMZN.US,call,223.0,2025-11-20,buy,6.0565,34,0.0,2025-10-30
2025-11-05,AMZN.US,call,223.0,2025-11-20,close,28.1977,34,75280.0146,2025-10-30
2026-01-28,AMZN.US,call,243.0,2026-02-18,buy,6.1691,46,0.0,2026-01-28
2026-02-03,AMZN.US,call,243.0,2026-02-18,close,3.1286,46,-13986.201,2026-01-28
