timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-17,ARM.US,call,137.0,2024-10-08,buy,9.3791,97,0.0,2024-09-17
2024-09-23,ARM.US,call,137.0,2024-10-08,close,9.8025,97,4106.5726,2024-09-17
2024-10-21,ARM.US,call,152.0,2024-11-11,buy,8.1952,97,0.0,2024-10-21
2024-10-22,ARM.US,call,152.0,2024-11-11,close,8.1194,97,-735.1475,2024-10-21
2024-12-06,ARM.US,call,141.0,2024-12-27,buy,6.9604,95,0.0,2024-12-06
2024-12-17,ARM.US,call,141.0,2024-12-27,close,5.2032,95,-16692.9125,2024-12-06
2025-01-15,ARM.US,call,147.0,2025-02-05,buy,8.1021,83,0.0,2025-01-15
2025-01-24,ARM.US,call,147.0,2025-02-05,close,18.3247,83,84847.5449,2025-01-15
2025-01-28,ARM.US,call,149.0,2025-02-18,buy,11.6935,37,0.0,2025-01-28
2025-01-29,ARM.US,call,149.0,2025-02-18,close,10.3444,37,-4991.7502,2025-01-28
2025-05-23,ARM.US,call,127.0,2025-06-13,buy,6.3971,58,0.0,2025-05-23
2025-05-30,ARM.US,call,127.0,2025-06-13,close,4.3204,58,-12044.7439,2025-05-23
