timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-19,AVGO.US,call,167.0,2024-10-10,buy,10.001,79,0.0,2024-09-19
2024-09-25,AVGO.US,call,167.0,2024-10-10,close,12.9156,79,23025.147,2024-09-19
2024-12-10,AVGO.US,call,172.0,2024-12-31,buy,6.1669,62,0.0,2024-12-10
2024-12-18,AVGO.US,call,172.0,2024-12-31,close,52.4981,62,287253.9562,2024-12-10
2025-05-30,AVGO.US,call,242.0,2025-06-20,buy,8.6799,68,0.0,2025-05-30
2025-06-09,AVGO.US,call,242.0,2025-06-20,close,7.1905,68,-10127.8966,2025-05-30
2025-08-15,AVGO.US,call,306.0,2025-09-05,buy,8.5991,48,0.0,2025-08-15
2025-08-18,AVGO.US,call,306.0,2025-09-05,close,7.628,48,-4661.4554,2025-08-15
2025-12-09,AVGO.US,call,406.0,2025-12-30,buy,19.2555,33,0.0,2025-12-09
2025-12-12,AVGO.US,call,406.0,2025-12-30,close,4.8671,33,-47481.8082,2025-12-09
