timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-15,GME.US,call,27.0,2024-12-06,buy,1.1535,365,0.0,2024-11-15
2024-11-19,GME.US,call,27.0,2024-12-06,close,1.5459,365,14323.3134,2024-11-15
2024-11-20,GME.US,call,28.0,2024-12-11,buy,1.6649,332,0.0,2024-11-20
2024-11-21,GME.US,call,28.0,2024-12-11,close,1.3054,332,-11935.2935,2024-11-20
2025-05-21,GME.US,call,28.0,2025-06-11,buy,1.13,500,0.0,2025-05-21
2025-05-28,GME.US,call,28.0,2025-06-11,close,3.5556,500,121281.3546,2025-05-21
2025-05-29,GME.US,call,30.0,2025-06-19,buy,1.5446,174,0.0,2025-05-29
2025-05-30,GME.US,call,30.0,2025-06-19,close,1.6097,174,1133.2616,2025-05-29
2025-09-03,GME.US,call,23.0,2025-09-24,buy,0.5024,309,0.0,2025-09-03
2025-09-12,GME.US,call,23.0,2025-09-24,close,1.9898,309,45960.9165,2025-09-03
