timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,8.0,2024-10-16,buy,0.2726,500,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-16,close,1.0611,500,39423.5476,2024-09-25
2024-10-01,IONQ.US,call,8.0,2024-10-22,buy,0.7941,500,0.0,2024-10-01
2024-10-07,IONQ.US,call,8.0,2024-10-22,close,1.3188,500,26232.3707,2024-10-01
2024-10-10,IONQ.US,call,10.0,2024-10-31,buy,0.7835,500,0.0,2024-10-10
2024-10-31,IONQ.US,call,10.0,2024-10-31,exercise,5.03,500,212325.7374,2024-10-10
2025-02-05,IONQ.US,call,42.0,2025-02-26,buy,8.2736,222,0.0,2025-02-05
2025-02-06,IONQ.US,call,42.0,2025-02-26,close,7.2495,222,-22736.0973,2025-02-05
2025-02-10,IONQ.US,call,41.0,2025-03-03,buy,7.6286,221,0.0,2025-02-10
2025-02-11,IONQ.US,call,41.0,2025-03-03,close,5.565,221,-45604.4346,2025-02-10
