timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-10-24,MARA.US,call,18.0,2024-11-14,buy,1.1506,500,0.0,2024-10-24
2024-10-28,MARA.US,call,18.0,2024-11-14,close,1.6422,500,24580.3022,2024-10-24
2024-11-26,MARA.US,call,25.0,2024-12-17,buy,3.2974,391,0.0,2024-11-26
2024-12-04,MARA.US,call,25.0,2024-12-17,close,3.2076,391,-3511.3975,2024-11-26
2025-01-23,MARA.US,call,20.0,2025-02-13,buy,1.6842,500,0.0,2025-01-23
2025-01-30,MARA.US,call,20.0,2025-02-13,close,0.9733,500,-35545.0026,2025-01-23
2025-05-02,MARA.US,call,14.0,2025-05-23,buy,1.6766,500,0.0,2025-05-02
2025-05-07,MARA.US,call,14.0,2025-05-23,close,0.7996,500,-43851.0902,2025-05-02
2025-08-29,MARA.US,call,16.0,2025-09-19,buy,0.8747,399,0.0,2025-08-29
2025-09-08,MARA.US,call,16.0,2025-09-19,close,0.1677,399,-28210.0998,2025-08-29
2026-01-15,MARA.US,call,11.0,2026-02-05,buy,0.5169,500,0.0,2026-01-15
2026-01-26,MARA.US,call,11.0,2026-02-05,close,0.1356,500,-19064.7617,2026-01-15
