timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-30,META.US,call,572.0,2024-10-30,buy,14.8662,13,0.0,2024-09-30
2024-10-02,META.US,call,572.0,2024-10-30,close,14.5904,13,-358.5023,2024-09-30
2024-11-12,META.US,call,585.0,2024-12-12,buy,18.2751,12,0.0,2024-11-12
2024-11-13,META.US,call,585.0,2024-12-12,close,15.5126,12,-3315.0151,2024-11-12
2025-05-30,META.US,call,647.0,2025-06-29,buy,28.4987,11,0.0,2025-05-30
2025-06-06,META.US,call,647.0,2025-06-29,close,58.3008,11,32782.2335,2025-05-30
2025-08-15,META.US,call,785.0,2025-09-14,buy,36.3312,8,0.0,2025-08-15
2025-08-19,META.US,call,785.0,2025-09-14,close,19.4656,8,-13492.4628,2025-08-15
2025-09-22,META.US,call,765.0,2025-10-22,buy,19.7802,8,0.0,2025-09-22
2025-09-24,META.US,call,765.0,2025-10-22,close,15.2212,8,-3647.1804,2025-09-22
2025-12-18,META.US,call,664.0,2026-01-17,buy,22.1981,8,0.0,2025-12-18
2025-12-23,META.US,call,664.0,2026-01-17,close,19.3996,8,-2238.8063,2025-12-18
2026-01-28,META.US,call,669.0,2026-02-27,buy,21.5009,9,0.0,2026-01-28
2026-02-02,META.US,call,669.0,2026-02-27,close,52.7744,9,28146.151,2026-01-28
