timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,145.0,2024-10-20,buy,12.6859,53,0.0,2024-09-20
2024-09-24,MSTR.US,call,145.0,2024-10-20,close,17.3097,53,24506.0816,2024-09-20
2024-10-15,MSTR.US,call,194.0,2024-11-14,buy,18.6855,31,0.0,2024-10-15
2024-10-16,MSTR.US,call,194.0,2024-11-14,close,18.2747,31,-1273.4608,2024-10-15
2025-01-27,MSTR.US,call,348.0,2025-02-26,buy,41.7265,17,0.0,2025-01-27
2025-01-28,MSTR.US,call,348.0,2025-02-26,close,33.3633,17,-14217.3685,2025-01-27
2025-03-21,MSTR.US,call,304.0,2025-04-20,buy,37.9097,12,0.0,2025-03-21
2025-03-25,MSTR.US,call,304.0,2025-04-20,close,60.7288,12,27382.9889,2025-03-21
2025-05-12,MSTR.US,call,405.0,2025-06-11,buy,47.312,17,0.0,2025-05-12
2025-05-19,MSTR.US,call,405.0,2025-06-11,close,44.3247,17,-5078.4499,2025-05-12
2025-06-27,MSTR.US,call,384.0,2025-07-27,buy,18.8642,17,0.0,2025-06-27
2025-07-01,MSTR.US,call,384.0,2025-07-27,close,14.9492,17,-6655.4947,2025-06-27
2025-10-01,MSTR.US,call,338.0,2025-10-31,buy,19.9484,15,0.0,2025-10-01
2025-10-06,MSTR.US,call,338.0,2025-10-31,close,30.9718,15,16535.053,2025-10-01
2025-10-08,MSTR.US,call,331.0,2025-11-07,buy,20.361,15,0.0,2025-10-08
2025-10-10,MSTR.US,call,331.0,2025-11-07,close,9.1131,15,-16871.8709,2025-10-08
