timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-23,MU.US,call,94.0,2024-10-23,buy,5.2823,68,0.0,2024-09-23
2024-09-30,MU.US,call,94.0,2024-10-23,close,12.3189,68,47848.2901,2024-09-23
2024-10-10,MU.US,call,106.0,2024-11-09,buy,7.3202,74,0.0,2024-10-10
2024-10-11,MU.US,call,106.0,2024-11-09,close,7.8721,74,4083.8488,2024-10-10
2024-10-15,MU.US,call,104.0,2024-11-14,buy,7.012,72,0.0,2024-10-15
2024-10-17,MU.US,call,104.0,2024-11-14,close,11.8568,72,34882.7439,2024-10-15
2024-10-23,MU.US,call,105.0,2024-11-22,buy,7.0269,70,0.0,2024-10-23
2024-10-24,MU.US,call,105.0,2024-11-22,close,7.7519,70,5074.8376,2024-10-23
2024-11-25,MU.US,call,104.0,2024-12-25,buy,5.7608,67,0.0,2024-11-25
2024-11-27,MU.US,call,104.0,2024-12-25,close,2.5283,67,-21657.8045,2024-11-25
2024-12-18,MU.US,call,104.0,2025-01-17,buy,5.963,62,0.0,2024-12-18
2024-12-19,MU.US,call,104.0,2025-01-17,close,1.8056,62,-25776.3017,2024-12-18
