timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2025-01-08,NVDA.US,call,140.0,2025-02-07,buy,6.8776,42,0.0,2025-01-08
2025-01-13,NVDA.US,call,140.0,2025-02-07,close,3.1257,42,-15757.865,2025-01-08
2025-01-24,NVDA.US,call,143.0,2025-02-23,buy,7.1803,44,0.0,2025-01-24
2025-01-27,NVDA.US,call,143.0,2025-02-23,close,2.0938,44,-22380.5272,2025-01-24
2025-05-28,NVDA.US,call,135.0,2025-06-27,buy,7.1678,32,0.0,2025-05-28
2025-06-02,NVDA.US,call,135.0,2025-06-27,close,7.15,32,-57.1362,2025-05-28
2026-02-12,NVDA.US,call,187.0,2026-03-14,buy,8.0478,21,0.0,2026-02-12
2026-02-18,NVDA.US,call,187.0,2026-03-14,close,7.8839,21,-344.0893,2026-02-12
2026-02-20,NVDA.US,call,190.0,2026-03-22,buy,8.2881,21,0.0,2026-02-20
2026-02-27,NVDA.US,call,190.0,2026-03-22,close,3.068,21,-10962.2108,2026-02-20
