timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-24,PLTR.US,call,37.0,2024-10-24,buy,1.9448,214,0.0,2024-09-24
2024-09-25,PLTR.US,call,37.0,2024-10-24,close,2.0005,214,1190.214,2024-09-24
2025-04-10,PLTR.US,call,89.0,2025-05-10,buy,9.911,26,0.0,2025-04-10
2025-04-11,PLTR.US,call,89.0,2025-05-10,close,9.7178,26,-502.5269,2025-04-10
2025-04-16,PLTR.US,call,93.0,2025-05-16,buy,10.64,28,0.0,2025-04-16
2025-04-17,PLTR.US,call,93.0,2025-05-16,close,10.4369,28,-568.6309,2025-04-16
2025-06-04,PLTR.US,call,130.0,2025-07-04,buy,10.2409,56,0.0,2025-06-04
2025-06-05,PLTR.US,call,130.0,2025-07-04,close,5.7285,56,-25269.5521,2025-06-04
2025-11-04,PLTR.US,call,191.0,2025-12-04,buy,10.8481,34,0.0,2025-11-04
2025-11-06,PLTR.US,call,191.0,2025-12-04,close,4.7373,34,-20776.7178,2025-11-04
