timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-10-30,QQQ.US,call,496.0,2024-11-29,buy,9.0738,15,0.0,2024-10-30
2024-10-31,QQQ.US,call,496.0,2024-11-29,close,3.7275,15,-8019.4763,2024-10-30
2025-05-20,QQQ.US,call,520.0,2025-06-19,buy,26.1024,13,0.0,2025-05-20
2025-05-23,QQQ.US,call,520.0,2025-06-19,close,9.0723,13,-22139.2014,2025-05-20
2025-06-05,QQQ.US,call,525.0,2025-07-05,buy,11.8976,13,0.0,2025-06-05
2025-06-06,QQQ.US,call,525.0,2025-07-05,close,13.904,13,2608.3547,2025-06-05
2025-07-22,QQQ.US,call,561.0,2025-08-21,buy,8.2615,12,0.0,2025-07-22
2025-07-23,QQQ.US,call,561.0,2025-08-21,close,9.6379,12,1651.6397,2025-07-22
2025-09-10,QQQ.US,call,581.0,2025-10-10,buy,10.1492,11,0.0,2025-09-10
2025-09-11,QQQ.US,call,581.0,2025-10-10,close,11.9411,11,1971.078,2025-09-10
2025-10-22,QQQ.US,call,605.0,2025-11-21,buy,12.1427,10,0.0,2025-10-22
2025-10-23,QQQ.US,call,605.0,2025-11-21,close,14.9808,10,2838.0921,2025-10-22
