timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-26,RKLB.US,call,25.0,2024-12-17,buy,2.6882,500,0.0,2024-11-26
2024-11-29,RKLB.US,call,25.0,2024-12-17,close,3.5666,500,43919.9718,2024-11-26
2024-12-02,RKLB.US,call,24.0,2024-12-23,buy,2.5251,481,0.0,2024-12-02
2024-12-03,RKLB.US,call,24.0,2024-12-23,close,1.9107,481,-29552.0028,2024-12-02
2025-04-10,RKLB.US,call,20.0,2025-05-01,buy,1.7524,306,0.0,2025-04-10
2025-04-11,RKLB.US,call,20.0,2025-05-01,close,1.6967,306,-1703.96,2025-04-10
2025-04-23,RKLB.US,call,20.0,2025-05-14,buy,2.0006,360,0.0,2025-04-23
2025-04-29,RKLB.US,call,20.0,2025-05-14,close,3.1115,360,39992.8688,2025-04-23
2025-09-16,RKLB.US,call,47.0,2025-10-07,buy,3.8501,259,0.0,2025-09-16
2025-09-18,RKLB.US,call,47.0,2025-10-07,close,3.6391,259,-5463.9365,2025-09-16
2025-09-24,RKLB.US,call,49.0,2025-10-15,buy,3.9718,241,0.0,2025-09-24
2025-09-26,RKLB.US,call,49.0,2025-10-15,close,2.6413,241,-32064.106,2025-09-24
