timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-10-08,SMCI.US,call,45.0,2024-11-07,buy,5.3072,93,0.0,2024-10-08
2024-10-15,SMCI.US,call,45.0,2024-11-07,close,5.2139,93,-868.1511,2024-10-08
2025-02-25,SMCI.US,call,46.0,2025-03-27,buy,6.0338,90,0.0,2025-02-25
2025-03-03,SMCI.US,call,46.0,2025-03-27,close,2.1891,90,-34602.0945,2025-02-25
2025-09-12,SMCI.US,call,45.0,2025-10-12,buy,3.7935,85,0.0,2025-09-12
2025-09-16,SMCI.US,call,45.0,2025-10-12,close,3.42,85,-3175.4535,2025-09-12
2025-09-19,SMCI.US,call,46.0,2025-10-19,buy,2.162,81,0.0,2025-09-19
2025-09-25,SMCI.US,call,46.0,2025-10-19,close,2.035,81,-1028.4145,2025-09-19
2025-09-30,SMCI.US,call,48.0,2025-10-30,buy,2.2593,75,0.0,2025-09-30
2025-10-09,SMCI.US,call,48.0,2025-10-30,close,10.2302,75,59781.7139,2025-09-30
2026-02-05,SMCI.US,call,31.0,2026-03-07,buy,2.3597,134,0.0,2026-02-05
2026-02-10,SMCI.US,call,31.0,2026-03-07,close,3.9018,134,20664.8813,2026-02-05
2026-06-05,SMCI.US,call,42.0,2026-07-05,buy,4.8112,134,0.0,2026-06-05
2026-06-08,SMCI.US,call,42.0,2026-07-05,close,5.8739,134,14239.9577,2026-06-05
