timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-10-25,SOFI.US,call,11.0,2024-11-24,buy,0.6005,500,0.0,2024-10-25
2024-10-31,SOFI.US,call,11.0,2024-11-24,close,0.719,500,5920.5251,2024-10-25
2025-01-28,SOFI.US,call,16.0,2025-02-27,buy,1.3905,386,0.0,2025-01-28
2025-01-29,SOFI.US,call,16.0,2025-02-27,close,1.2693,386,-4676.1976,2025-01-28
2025-05-12,SOFI.US,call,14.0,2025-06-11,buy,1.5072,500,0.0,2025-05-12
2025-05-21,SOFI.US,call,14.0,2025-06-11,close,0.4724,500,-51743.2073,2025-05-12
2025-09-02,SOFI.US,call,25.0,2025-10-02,buy,1.5021,164,0.0,2025-09-02
2025-09-03,SOFI.US,call,25.0,2025-10-02,close,1.2691,164,-3821.265,2025-09-02
2026-01-13,SOFI.US,call,27.0,2026-02-12,buy,1.7399,111,0.0,2026-01-13
2026-01-14,SOFI.US,call,27.0,2026-02-12,close,1.4565,111,-3145.9635,2026-01-13
2026-06-05,SOFI.US,call,16.0,2026-07-05,buy,1.35,136,0.0,2026-06-05
2026-06-12,SOFI.US,call,16.0,2026-07-05,close,1.2294,136,-1641.1535,2026-06-05
2026-06-17,SOFI.US,call,17.0,2026-07-17,buy,1.3451,210,0.0,2026-06-17
2026-06-25,SOFI.US,call,17.0,2026-07-17,close,1.1189,210,-4749.971,2026-06-17
