timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-18,TSLA.US,call,227.0,2024-10-18,buy,14.885,34,0.0,2024-09-18
2024-09-25,TSLA.US,call,227.0,2024-10-18,close,34.1258,34,65418.8288,2024-09-18
2024-11-15,TSLA.US,call,321.0,2024-12-15,buy,33.6459,17,0.0,2024-11-15
2024-11-19,TSLA.US,call,321.0,2024-12-15,close,46.7845,17,22335.6042,2024-11-15
2025-03-31,TSLA.US,call,259.0,2025-04-30,buy,25.933,12,0.0,2025-03-31
2025-04-07,TSLA.US,call,259.0,2025-04-30,close,12.6012,12,-15998.0852,2025-03-31
2025-05-30,TSLA.US,call,346.0,2025-06-29,buy,23.1803,21,0.0,2025-05-30
2025-06-02,TSLA.US,call,346.0,2025-06-29,close,20.0816,21,-6507.2912,2025-05-30
2025-09-26,TSLA.US,call,440.0,2025-10-26,buy,23.8808,10,0.0,2025-09-26
2025-09-29,TSLA.US,call,440.0,2025-10-26,close,23.9006,10,19.7736,2025-09-26
2025-10-02,TSLA.US,call,436.0,2025-11-01,buy,24.5537,15,0.0,2025-10-02
2025-10-03,TSLA.US,call,436.0,2025-11-01,close,20.9859,15,-5351.686,2025-10-02
