timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-19,AVGO.US,call,167.0,2024-10-03,buy,8.1745,158,0.0,2024-09-19
2024-09-25,AVGO.US,call,167.0,2024-10-03,close,11.008,158,44769.2913,2024-09-19
2024-12-10,AVGO.US,call,172.0,2024-12-24,buy,4.9831,118,0.0,2024-12-10
2024-12-18,AVGO.US,call,172.0,2024-12-24,close,51.8058,118,552507.9528,2024-12-10
2025-05-30,AVGO.US,call,242.0,2025-06-13,buy,7.0443,140,0.0,2025-05-30
2025-06-09,AVGO.US,call,242.0,2025-06-13,close,4.8212,140,-31123.2442,2025-05-30
2025-08-15,AVGO.US,call,306.0,2025-08-29,buy,6.9885,90,0.0,2025-08-15
2025-08-18,AVGO.US,call,306.0,2025-08-29,close,5.8742,90,-10028.442,2025-08-15
2025-12-09,AVGO.US,call,406.0,2025-12-23,buy,15.67,54,0.0,2025-12-09
2025-12-12,AVGO.US,call,406.0,2025-12-23,close,2.2861,54,-72273.2012,2025-12-09
