timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-19,AVGO.US,call,181.0,2024-10-03,buy,3.1625,197,0.0,2024-09-19
2024-09-25,AVGO.US,call,181.0,2024-10-03,close,3.5813,197,8249.1281,2024-09-19
2024-12-10,AVGO.US,call,186.0,2024-12-24,buy,0.9144,143,0.0,2024-12-10
2024-12-18,AVGO.US,call,186.0,2024-12-24,close,38.1293,143,532173.7251,2024-12-10
2025-05-30,AVGO.US,call,261.0,2025-06-13,buy,1.3481,178,0.0,2025-05-30
2025-06-09,AVGO.US,call,261.0,2025-06-13,close,0.1206,178,-21850.7367,2025-05-30
2025-08-15,AVGO.US,call,331.0,2025-08-29,buy,0.6036,108,0.0,2025-08-15
2025-08-18,AVGO.US,call,331.0,2025-08-29,close,0.3129,108,-3140.1259,2025-08-15
2025-12-09,AVGO.US,call,439.0,2025-12-23,buy,4.6759,60,0.0,2025-12-09
2025-12-12,AVGO.US,call,439.0,2025-12-23,close,0.3942,60,-25690.3153,2025-12-09
