timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,8.0,2024-10-05,buy,0.1448,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-05,close,0.8358,2000,138190.5044,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-11,buy,0.2009,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-11,close,0.3856,2000,36950.7092,2024-10-01
2024-10-08,SMCI.US,call,50.0,2024-10-18,buy,1.3133,660,0.0,2024-10-08
2024-10-10,IONQ.US,call,11.0,2024-10-20,buy,0.2056,2000,0.0,2024-10-10
2024-10-15,SMCI.US,call,50.0,2024-10-18,close,0.5332,660,-51485.5441,2024-10-08
2024-10-21,IONQ.US,call,11.0,2024-10-20,exercise,3.76,2000,710882.318,2024-10-10
2025-01-08,NVDA.US,call,154.0,2025-01-18,buy,0.3828,383,0.0,2025-01-08
2025-01-13,NVDA.US,call,154.0,2025-01-18,close,0.0021,383,-14582.0141,2025-01-08
2025-01-24,NVDA.US,call,157.0,2025-02-03,buy,0.472,273,0.0,2025-01-24
2025-01-27,NVDA.US,call,157.0,2025-02-03,close,0.0062,273,-12715.5033,2025-01-24
