timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,8.0,2024-10-09,buy,0.1956,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-09,close,0.9266,2000,146198.1786,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-15,buy,0.2803,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-15,close,0.5312,2000,50179.8662,2024-10-01
2024-10-08,SMCI.US,call,49.0,2024-10-22,buy,2.0984,471,0.0,2024-10-08
2024-10-10,IONQ.US,call,11.0,2024-10-24,buy,0.2971,2000,0.0,2024-10-10
2024-10-15,SMCI.US,call,49.0,2024-10-22,close,1.5218,471,-27159.6698,2024-10-08
2024-10-24,IONQ.US,call,11.0,2024-10-24,exercise,4.71,2000,882577.9146,2024-10-10
2025-01-08,NVDA.US,call,151.0,2025-01-22,buy,1.1439,280,0.0,2025-01-08
2025-01-13,NVDA.US,call,151.0,2025-01-22,close,0.0845,280,-29662.7229,2025-01-08
2025-01-24,NVDA.US,call,154.0,2025-02-07,buy,1.312,232,0.0,2025-01-24
2025-01-27,NVDA.US,call,154.0,2025-02-07,close,0.0845,232,-28478.919,2025-01-24
