timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,9.0,2024-10-02,buy,0.0047,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,9.0,2024-10-02,close,0.1227,2000,23592.2157,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-08,buy,0.1352,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-08,close,0.2115,2000,15244.5642,2024-10-01
2024-10-08,SMCI.US,call,51.0,2024-10-15,buy,0.7057,943,0.0,2024-10-08
2024-10-10,IONQ.US,call,11.0,2024-10-17,buy,0.1319,2000,0.0,2024-10-10
2024-10-15,SMCI.US,call,51.0,2024-10-15,expire,0.0,943,-66545.9886,2024-10-08
2024-10-17,IONQ.US,call,11.0,2024-10-17,exercise,1.5,2000,273616.6044,2024-10-10
2025-01-08,NVDA.US,call,157.0,2025-01-15,buy,0.0724,527,0.0,2025-01-08
2025-01-13,NVDA.US,call,157.0,2025-01-15,close,0.0,527,-3814.5363,2025-01-08
2025-01-24,NVDA.US,call,160.0,2025-01-31,buy,0.1016,284,0.0,2025-01-24
2025-01-27,NVDA.US,call,160.0,2025-01-31,close,0.0,284,-2883.6762,2025-01-24
