timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,156.0,2024-10-04,buy,4.4641,266,0.0,2024-09-20
2024-09-24,MSTR.US,call,156.0,2024-10-04,close,6.8398,266,63191.1284,2024-09-20
2024-09-25,IONQ.US,call,8.0,2024-10-09,buy,0.1956,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-09,close,0.9266,2000,146198.1786,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-15,buy,0.2803,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-15,close,0.5312,2000,50179.8662,2024-10-01
2024-10-08,SMCI.US,call,49.0,2024-10-22,buy,2.0984,414,0.0,2024-10-08
2024-10-10,IONQ.US,call,11.0,2024-10-24,buy,0.2971,2000,0.0,2024-10-10
2024-10-15,MSTR.US,call,210.0,2024-10-29,buy,6.6867,104,0.0,2024-10-15
2024-10-15,SMCI.US,call,49.0,2024-10-22,close,1.5218,414,-23872.8308,2024-10-08
2024-10-16,MSTR.US,call,210.0,2024-10-29,close,6.2029,104,-5031.7576,2024-10-15
2024-10-24,IONQ.US,call,11.0,2024-10-24,exercise,4.71,2000,882577.9146,2024-10-10
2024-10-24,MARA.US,call,20.0,2024-11-07,buy,0.2622,1225,0.0,2024-10-24
2024-10-28,MARA.US,call,20.0,2024-11-07,close,0.4537,1225,23449.2584,2024-10-24
2024-11-15,GME.US,call,29.0,2024-11-29,buy,0.3096,903,0.0,2024-11-15
2024-11-19,GME.US,call,29.0,2024-11-29,close,0.4183,903,9813.9906,2024-11-15
2024-11-20,GME.US,call,31.0,2024-12-04,buy,0.3368,767,0.0,2024-11-20
2024-11-21,GME.US,call,31.0,2024-12-04,close,0.2053,767,-10090.006,2024-11-20
2024-11-26,MARA.US,call,27.0,2024-12-10,buy,1.9082,734,0.0,2024-11-26
2024-12-04,MARA.US,call,27.0,2024-12-10,close,1.4272,734,-35309.4165,2024-11-26
2025-01-17,APLD.US,call,10.0,2025-01-31,buy,0.3841,2000,0.0,2025-01-17
2025-01-23,APLD.US,call,10.0,2025-01-31,close,0.3309,2000,-10646.298,2025-01-17
