timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,162.0,2024-09-27,buy,1.1844,532,0.0,2024-09-20
2024-09-24,MSTR.US,call,162.0,2024-09-27,close,1.446,532,13919.1125,2024-09-20
2024-09-25,IONQ.US,call,9.0,2024-10-02,buy,0.0047,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,9.0,2024-10-02,close,0.1227,2000,23592.2157,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-08,buy,0.1352,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-08,close,0.2115,2000,15244.5642,2024-10-01
2024-10-08,SMCI.US,call,51.0,2024-10-15,buy,0.7057,714,0.0,2024-10-08
2024-10-10,IONQ.US,call,11.0,2024-10-17,buy,0.1319,2000,0.0,2024-10-10
2024-10-15,SMCI.US,call,51.0,2024-10-15,expire,0.0,714,-50385.8281,2024-10-08
2024-10-15,MSTR.US,call,218.0,2024-10-22,buy,1.9265,140,0.0,2024-10-15
2024-10-16,MSTR.US,call,218.0,2024-10-22,close,1.4967,140,-6016.8828,2024-10-15
2024-10-17,IONQ.US,call,11.0,2024-10-17,exercise,1.5,2000,273616.6044,2024-10-10
2024-10-24,MARA.US,call,20.0,2024-10-31,buy,0.0973,1511,0.0,2024-10-24
2024-10-28,MARA.US,call,20.0,2024-10-31,close,0.1263,1511,4384.3465,2024-10-24
2024-11-15,GME.US,call,30.0,2024-11-22,buy,0.0381,1370,0.0,2024-11-15
2024-11-19,GME.US,call,30.0,2024-11-22,close,0.0187,1370,-2650.6525,2024-11-15
2024-11-20,GME.US,call,32.0,2024-11-27,buy,0.0452,1022,0.0,2024-11-20
2024-11-21,GME.US,call,32.0,2024-11-27,close,0.0136,1022,-3234.3632,2024-11-20
2024-11-26,MARA.US,call,28.0,2024-12-03,buy,0.8561,758,0.0,2024-11-26
2024-12-03,MARA.US,call,28.0,2024-12-03,expire,0.0,758,-64893.8316,2024-11-26
