timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,159.0,2024-09-30,buy,2.5479,372,0.0,2024-09-20
2024-09-24,MSTR.US,call,159.0,2024-09-30,close,3.8974,372,50199.0436,2024-09-20
2024-09-25,IONQ.US,call,8.0,2024-10-05,buy,0.1448,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-05,close,0.8358,2000,138190.5044,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-11,buy,0.2009,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-11,close,0.3856,2000,36950.7092,2024-10-01
2024-10-10,IONQ.US,call,11.0,2024-10-20,buy,0.2056,2000,0.0,2024-10-10
2024-10-15,MSTR.US,call,214.0,2024-10-25,buy,3.9384,161,0.0,2024-10-15
2024-10-16,MSTR.US,call,214.0,2024-10-25,close,3.4536,161,-7806.4473,2024-10-15
2024-10-21,IONQ.US,call,11.0,2024-10-20,exercise,3.76,2000,710882.318,2024-10-10
2025-01-17,APLD.US,call,10.0,2025-01-27,buy,0.2766,2000,0.0,2025-01-17
2025-01-23,APLD.US,call,10.0,2025-01-27,close,0.1717,2000,-20971.4514,2025-01-17
2025-01-27,MSTR.US,call,383.0,2025-02-06,buy,11.4018,127,0.0,2025-01-27
2025-01-28,MSTR.US,call,383.0,2025-02-06,close,6.5303,127,-61868.22,2025-01-27
2025-02-05,IONQ.US,call,47.0,2025-02-15,buy,3.8909,658,0.0,2025-02-05
2025-02-06,IONQ.US,call,47.0,2025-02-15,close,3.0252,658,-56963.9651,2025-02-05
