timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,162.0,2024-09-27,buy,1.1844,532,0.0,2024-09-20
2024-09-24,MSTR.US,call,162.0,2024-09-27,close,1.446,532,13919.1125,2024-09-20
2024-09-25,IONQ.US,call,9.0,2024-10-02,buy,0.0047,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,9.0,2024-10-02,close,0.1227,2000,23592.2157,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-08,buy,0.1352,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-08,close,0.2115,2000,15244.5642,2024-10-01
2024-10-10,IONQ.US,call,11.0,2024-10-17,buy,0.1319,2000,0.0,2024-10-10
2024-10-15,MSTR.US,call,218.0,2024-10-22,buy,1.9265,206,0.0,2024-10-15
2024-10-16,MSTR.US,call,218.0,2024-10-22,close,1.4967,206,-8853.4133,2024-10-15
2024-10-17,IONQ.US,call,11.0,2024-10-17,exercise,1.5,2000,273616.6044,2024-10-10
2025-01-17,APLD.US,call,10.0,2025-01-24,buy,0.1873,2000,0.0,2025-01-17
2025-01-23,APLD.US,call,10.0,2025-01-24,close,0.0247,2000,-32537.1939,2025-01-17
2025-01-27,MSTR.US,call,390.0,2025-02-03,buy,6.4834,157,0.0,2025-01-27
2025-01-28,MSTR.US,call,390.0,2025-02-03,close,2.8893,157,-56426.5911,2025-01-27
2025-02-05,IONQ.US,call,47.0,2025-02-12,buy,2.9798,610,0.0,2025-02-05
2025-02-06,IONQ.US,call,47.0,2025-02-12,close,2.1366,610,-51433.2386,2025-02-05
