timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-15,GME.US,call,29.0,2024-11-29,buy,0.3096,913,0.0,2024-11-15
2024-11-19,GME.US,call,29.0,2024-11-29,close,0.4183,913,9922.6726,2024-11-15
2024-11-20,GME.US,call,31.0,2024-12-04,buy,0.3368,775,0.0,2024-11-20
2024-11-21,GME.US,call,31.0,2024-12-04,close,0.2053,775,-10195.2472,2024-11-20
2025-05-21,GME.US,call,30.0,2025-06-04,buy,0.2527,1028,0.0,2025-05-21
2025-05-28,GME.US,call,30.0,2025-06-04,close,1.7189,1028,150721.837,2025-05-21
2025-05-29,GME.US,call,32.0,2025-06-12,buy,0.5585,352,0.0,2025-05-29
2025-05-30,GME.US,call,32.0,2025-06-12,close,0.5736,352,531.3308,2025-05-29
2025-09-03,GME.US,call,25.0,2025-09-17,buy,0.0148,592,0.0,2025-09-03
2025-09-12,GME.US,call,25.0,2025-09-17,close,0.2876,592,16149.6519,2025-09-03
