timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-15,GME.US,call,30.0,2024-11-22,buy,0.0381,1827,0.0,2024-11-15
2024-11-19,GME.US,call,30.0,2024-11-22,close,0.0187,1827,-3534.8482,2024-11-15
2024-11-20,GME.US,call,32.0,2024-11-27,buy,0.0452,1362,0.0,2024-11-20
2024-11-21,GME.US,call,32.0,2024-11-27,close,0.0136,1362,-4310.3744,2024-11-20
2025-05-21,GME.US,call,31.0,2025-05-28,buy,0.0231,1401,0.0,2025-05-21
2025-05-28,GME.US,call,31.0,2025-05-28,exercise,0.21,1401,26179.7983,2025-05-21
2025-05-29,GME.US,call,33.0,2025-06-05,buy,0.117,467,0.0,2025-05-29
2025-05-30,GME.US,call,33.0,2025-06-05,close,0.1053,467,-544.2183,2025-05-29
2025-09-03,GME.US,call,26.0,2025-09-10,buy,0.0,709,0.0,2025-09-03
2025-09-10,GME.US,call,26.0,2025-09-10,expire,0.0,709,-0.9994,2025-09-03
