timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2025-02-11,HOOD.US,call,53.0,2025-02-25,buy,2.6445,594,0.0,2025-02-11
2025-02-18,HOOD.US,call,53.0,2025-02-25,close,7.7062,594,300667.4323,2025-02-11
2025-07-08,HOOD.US,call,91.0,2025-07-22,buy,4.3997,307,0.0,2025-07-08
2025-07-09,HOOD.US,call,91.0,2025-07-22,close,6.1656,307,54213.2773,2025-07-08
2025-07-11,HOOD.US,call,98.0,2025-07-25,buy,4.686,285,0.0,2025-07-11
2025-07-14,HOOD.US,call,98.0,2025-07-25,close,5.0376,285,10019.5291,2025-07-11
2025-08-13,HOOD.US,call,109.0,2025-08-27,buy,4.2064,213,0.0,2025-08-13
2025-08-14,HOOD.US,call,109.0,2025-08-27,close,4.9974,213,16849.675,2025-08-13
2026-06-05,HOOD.US,call,82.0,2026-06-19,buy,5.4893,180,0.0,2026-06-05
2026-06-09,HOOD.US,call,82.0,2026-06-19,close,5.437,180,-940.9558,2026-06-05
