timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,8.0,2024-10-05,buy,0.1448,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-05,close,0.8358,2000,138190.5044,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-11,buy,0.2009,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-11,close,0.3856,2000,36950.7092,2024-10-01
2024-10-10,IONQ.US,call,11.0,2024-10-20,buy,0.2056,2000,0.0,2024-10-10
2024-10-21,IONQ.US,call,11.0,2024-10-20,exercise,3.76,2000,710882.318,2024-10-10
2025-02-05,IONQ.US,call,47.0,2025-02-15,buy,3.8909,994,0.0,2025-02-05
2025-02-06,IONQ.US,call,47.0,2025-02-15,close,3.0252,994,-86051.9473,2025-02-05
2025-02-10,IONQ.US,call,45.0,2025-02-20,buy,3.7602,816,0.0,2025-02-10
2025-02-11,IONQ.US,call,45.0,2025-02-20,close,2.1759,816,-129276.8639,2025-02-10
