timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,8.0,2024-10-09,buy,0.1956,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-09,close,0.9266,2000,146198.1786,2024-09-25
2024-10-01,IONQ.US,call,8.0,2024-10-15,buy,0.6642,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,8.0,2024-10-15,close,1.1888,2000,104922.3468,2024-10-01
2024-10-10,IONQ.US,call,10.0,2024-10-24,buy,0.6223,2000,0.0,2024-10-10
2024-10-24,IONQ.US,call,10.0,2024-10-24,exercise,5.71,2000,1017545.3771,2024-10-10
2025-02-05,IONQ.US,call,42.0,2025-02-19,buy,6.8005,568,0.0,2025-02-05
2025-02-06,IONQ.US,call,42.0,2025-02-19,close,5.789,568,-57455.4821,2025-02-05
2025-02-10,IONQ.US,call,41.0,2025-02-24,buy,6.2476,524,0.0,2025-02-10
2025-02-11,IONQ.US,call,41.0,2025-02-24,close,4.2304,524,-105703.3414,2025-02-10
