timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,8.0,2024-10-09,buy,0.1956,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-09,close,0.9266,2000,146198.1786,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-15,buy,0.2803,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-15,close,0.5312,2000,50179.8662,2024-10-01
2024-10-10,IONQ.US,call,11.0,2024-10-24,buy,0.2971,2000,0.0,2024-10-10
2024-10-24,IONQ.US,call,11.0,2024-10-24,exercise,4.71,2000,882577.9146,2024-10-10
2025-02-05,IONQ.US,call,46.0,2025-02-19,buy,5.2595,710,0.0,2025-02-05
2025-02-06,IONQ.US,call,46.0,2025-02-19,close,4.3412,710,-65200.9451,2025-02-05
2025-02-10,IONQ.US,call,44.0,2025-02-24,buy,5.0738,631,0.0,2025-02-10
2025-02-11,IONQ.US,call,44.0,2025-02-24,close,3.311,631,-111227.9606,2025-02-10
