timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-25,IONQ.US,call,9.0,2024-10-02,buy,0.0047,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,9.0,2024-10-02,close,0.1227,2000,23592.2157,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-08,buy,0.1352,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-08,close,0.2115,2000,15244.5642,2024-10-01
2024-10-10,IONQ.US,call,11.0,2024-10-17,buy,0.1319,2000,0.0,2024-10-10
2024-10-17,IONQ.US,call,11.0,2024-10-17,exercise,1.5,2000,273616.6044,2024-10-10
2025-02-05,IONQ.US,call,47.0,2025-02-12,buy,2.9798,1420,0.0,2025-02-05
2025-02-06,IONQ.US,call,47.0,2025-02-12,close,2.1366,1420,-119729.8342,2025-02-05
2025-02-10,IONQ.US,call,46.0,2025-02-17,buy,2.6024,1020,0.0,2025-02-10
2025-02-11,IONQ.US,call,46.0,2025-02-17,close,1.242,1020,-138762.1709,2025-02-10
