timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,145.0,2024-10-04,buy,8.5848,213,0.0,2024-09-20
2024-09-24,MSTR.US,call,145.0,2024-10-04,close,12.8779,213,91443.6191,2024-09-20
2024-10-15,MSTR.US,call,194.0,2024-10-29,buy,12.7559,116,0.0,2024-10-15
2024-10-16,MSTR.US,call,194.0,2024-10-29,close,12.1924,116,-6537.2354,2024-10-15
2025-01-27,MSTR.US,call,348.0,2025-02-10,buy,28.4223,57,0.0,2025-01-27
2025-01-28,MSTR.US,call,348.0,2025-02-10,close,20.512,57,-45088.6745,2025-01-27
2025-03-21,MSTR.US,call,304.0,2025-04-04,buy,25.8435,34,0.0,2025-03-21
2025-03-25,MSTR.US,call,304.0,2025-04-04,close,47.6004,34,73973.585,2025-03-21
2025-05-12,MSTR.US,call,405.0,2025-05-26,buy,32.2174,46,0.0,2025-05-12
2025-05-19,MSTR.US,call,405.0,2025-05-26,close,26.4219,46,-26659.3418,2025-05-12
2025-06-27,MSTR.US,call,384.0,2025-07-11,buy,12.7112,41,0.0,2025-06-27
2025-07-01,MSTR.US,call,384.0,2025-07-11,close,7.5562,41,-21135.3319,2025-06-27
