timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,156.0,2024-10-04,buy,4.4641,266,0.0,2024-09-20
2024-09-24,MSTR.US,call,156.0,2024-10-04,close,6.8398,266,63191.1284,2024-09-20
2024-10-15,MSTR.US,call,210.0,2024-10-29,buy,6.6867,142,0.0,2024-10-15
2024-10-16,MSTR.US,call,210.0,2024-10-29,close,6.2029,142,-6870.2844,2024-10-15
2025-01-27,MSTR.US,call,376.0,2025-02-10,buy,17.5783,66,0.0,2025-01-27
2025-01-28,MSTR.US,call,376.0,2025-02-10,close,11.6372,66,-39211.1615,2025-01-27
2025-03-21,MSTR.US,call,328.0,2025-04-04,buy,16.4817,37,0.0,2025-03-21
2025-03-25,MSTR.US,call,328.0,2025-04-04,close,32.4433,37,59058.1959,2025-03-21
2025-05-12,MSTR.US,call,437.0,2025-05-26,buy,19.8109,50,0.0,2025-05-12
2025-05-19,MSTR.US,call,437.0,2025-05-26,close,12.8632,50,-34738.546,2025-05-12
