timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-23,MU.US,call,101.0,2024-10-07,buy,1.2008,344,0.0,2024-09-23
2024-09-30,MU.US,call,101.0,2024-10-07,close,5.0439,344,132201.1585,2024-09-23
2024-10-10,MU.US,call,114.0,2024-10-24,buy,2.0856,364,0.0,2024-10-10
2024-10-11,MU.US,call,114.0,2024-10-24,close,2.2927,364,7539.0695,2024-10-10
2024-10-15,MU.US,call,113.0,2024-10-29,buy,1.6559,285,0.0,2024-10-15
2024-10-17,MU.US,call,113.0,2024-10-29,close,4.2857,285,74949.4389,2024-10-15
2024-10-23,MU.US,call,113.0,2024-11-06,buy,1.9056,254,0.0,2024-10-23
2024-10-24,MU.US,call,113.0,2024-11-06,close,2.1912,254,7256.5573,2024-10-23
2024-11-25,MU.US,call,113.0,2024-12-09,buy,0.9915,200,0.0,2024-11-25
2024-11-27,MU.US,call,113.0,2024-12-09,close,0.1175,200,-17479.4148,2024-11-25
