timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-26,RKLB.US,call,28.0,2024-12-06,buy,0.7912,1995,0.0,2024-11-26
2024-11-29,RKLB.US,call,28.0,2024-12-06,close,1.1342,1995,68418.9023,2024-11-26
2024-12-02,RKLB.US,call,27.0,2024-12-12,buy,0.7089,1507,0.0,2024-12-02
2024-12-03,RKLB.US,call,27.0,2024-12-12,close,0.3887,1507,-48254.1596,2024-12-02
2025-04-10,RKLB.US,call,22.0,2025-04-20,buy,0.5158,679,0.0,2025-04-10
2025-04-11,RKLB.US,call,22.0,2025-04-20,close,0.4546,679,-4155.1446,2025-04-10
2025-04-23,RKLB.US,call,22.0,2025-05-03,buy,0.6477,707,0.0,2025-04-23
2025-04-29,RKLB.US,call,22.0,2025-05-03,close,1.0914,707,31376.0981,2025-04-23
2025-09-16,RKLB.US,call,52.0,2025-09-26,buy,0.9483,496,0.0,2025-09-16
2025-09-18,RKLB.US,call,52.0,2025-09-26,close,0.722,496,-11224.375,2025-09-16
