timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-26,RKLB.US,call,25.0,2024-12-10,buy,2.235,1140,0.0,2024-11-26
2024-11-29,RKLB.US,call,25.0,2024-12-10,close,3.1235,1140,101284.6038,2024-11-26
2024-12-02,RKLB.US,call,24.0,2024-12-16,buy,2.0738,919,0.0,2024-12-02
2024-12-03,RKLB.US,call,24.0,2024-12-16,close,1.4564,919,-56740.2168,2024-12-02
2025-04-10,RKLB.US,call,20.0,2025-04-24,buy,1.3969,517,0.0,2025-04-10
2025-04-11,RKLB.US,call,20.0,2025-04-24,close,1.3323,517,-3341.7127,2025-04-10
2025-04-23,RKLB.US,call,20.0,2025-05-07,buy,1.659,580,0.0,2025-04-23
2025-04-29,RKLB.US,call,20.0,2025-05-07,close,2.7607,580,63899.2838,2025-04-23
2025-09-16,RKLB.US,call,47.0,2025-09-30,buy,3.1594,413,0.0,2025-09-16
2025-09-18,RKLB.US,call,47.0,2025-09-30,close,2.9036,413,-10562.394,2025-09-16
2025-09-24,RKLB.US,call,49.0,2025-10-08,buy,3.2083,343,0.0,2025-09-24
2025-09-26,RKLB.US,call,49.0,2025-10-08,close,1.8821,343,-45485.4506,2025-09-24
