timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-26,RKLB.US,call,27.0,2024-12-10,buy,1.3927,1425,0.0,2024-11-26
2024-11-29,RKLB.US,call,27.0,2024-12-10,close,1.9542,1425,80013.5636,2024-11-26
2024-12-02,RKLB.US,call,26.0,2024-12-16,buy,1.2787,1125,0.0,2024-12-02
2024-12-03,RKLB.US,call,26.0,2024-12-16,close,0.8388,1125,-49490.4428,2024-12-02
2025-04-10,RKLB.US,call,21.0,2025-04-24,buy,1.0183,590,0.0,2025-04-10
2025-04-11,RKLB.US,call,21.0,2025-04-24,close,0.9557,590,-3692.4024,2025-04-10
2025-04-23,RKLB.US,call,22.0,2025-05-07,buy,0.8678,647,0.0,2025-04-23
2025-04-29,RKLB.US,call,22.0,2025-05-07,close,1.4531,647,37867.7881,2025-04-23
2025-09-16,RKLB.US,call,51.0,2025-09-30,buy,1.6212,458,0.0,2025-09-16
2025-09-18,RKLB.US,call,51.0,2025-09-30,close,1.3975,458,-10247.4015,2025-09-16
