timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-26,RKLB.US,call,28.0,2024-12-03,buy,0.5498,2000,0.0,2024-11-26
2024-11-29,RKLB.US,call,28.0,2024-12-03,close,0.7835,2000,46734.6215,2024-11-26
2024-12-02,RKLB.US,call,27.0,2024-12-09,buy,0.4794,2000,0.0,2024-12-02
2024-12-03,RKLB.US,call,27.0,2024-12-09,close,0.2093,2000,-54020.393,2024-12-02
2025-04-10,RKLB.US,call,22.0,2025-04-17,buy,0.3425,786,0.0,2025-04-10
2025-04-11,RKLB.US,call,22.0,2025-04-17,close,0.2783,786,-5044.5443,2025-04-10
2025-04-23,RKLB.US,call,23.0,2025-04-30,buy,0.2606,756,0.0,2025-04-23
2025-04-29,RKLB.US,call,23.0,2025-04-30,close,0.2088,756,-3918.4327,2025-04-23
2025-09-16,RKLB.US,call,53.0,2025-09-23,buy,0.4584,521,0.0,2025-09-16
2025-09-18,RKLB.US,call,53.0,2025-09-23,close,0.2612,521,-10274.2679,2025-09-16
