timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-10-08,SMCI.US,call,45.0,2024-10-22,buy,3.6722,374,0.0,2024-10-08
2024-10-15,SMCI.US,call,45.0,2024-10-22,close,3.6874,374,571.3245,2024-10-08
2025-02-25,SMCI.US,call,46.0,2025-03-11,buy,4.046,343,0.0,2025-02-25
2025-03-03,SMCI.US,call,46.0,2025-03-11,close,0.5066,343,-121402.6591,2025-02-25
2025-09-12,SMCI.US,call,45.0,2025-09-26,buy,2.5765,252,0.0,2025-09-12
2025-09-16,SMCI.US,call,45.0,2025-09-26,close,2.0893,252,-12277.6152,2025-09-12
2025-09-19,SMCI.US,call,46.0,2025-10-03,buy,1.4291,220,0.0,2025-09-19
2025-09-25,SMCI.US,call,46.0,2025-10-03,close,1.2112,220,-4793.5794,2025-09-19
2025-09-30,SMCI.US,call,48.0,2025-10-14,buy,1.5143,190,0.0,2025-09-30
2025-10-09,SMCI.US,call,48.0,2025-10-14,close,10.0131,190,161476.5852,2025-09-30
2026-02-05,SMCI.US,call,31.0,2026-02-19,buy,1.578,354,0.0,2026-02-05
2026-02-10,SMCI.US,call,31.0,2026-02-19,close,2.9733,354,49395.1308,2026-02-05
2026-06-05,SMCI.US,call,42.0,2026-06-19,buy,3.2227,342,0.0,2026-06-05
2026-06-08,SMCI.US,call,42.0,2026-06-19,close,4.1612,342,32095.8331,2026-06-05
