timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-18,TSLA.US,call,227.0,2024-10-02,buy,10.1141,139,0.0,2024-09-18
2024-09-25,TSLA.US,call,227.0,2024-10-02,close,30.665,139,285657.3568,2024-09-18
2024-11-15,TSLA.US,call,321.0,2024-11-29,buy,22.8555,71,0.0,2024-11-15
2024-11-19,TSLA.US,call,321.0,2024-11-29,close,35.1671,71,87412.4737,2024-11-15
2025-03-31,TSLA.US,call,259.0,2025-04-14,buy,17.6672,47,0.0,2025-03-31
2025-04-07,TSLA.US,call,259.0,2025-04-14,close,3.8169,47,-65096.6825,2025-03-31
2025-05-30,TSLA.US,call,346.0,2025-06-13,buy,15.7782,74,0.0,2025-05-30
2025-06-02,TSLA.US,call,346.0,2025-06-13,close,12.1305,74,-26992.7204,2025-05-30
2025-09-26,TSLA.US,call,440.0,2025-10-10,buy,16.2014,29,0.0,2025-09-26
2025-09-29,TSLA.US,call,440.0,2025-10-10,close,15.7005,29,-1452.7658,2025-09-26
2025-10-02,TSLA.US,call,436.0,2025-10-16,buy,16.6008,41,0.0,2025-10-02
2025-10-03,TSLA.US,call,436.0,2025-10-16,close,12.9676,41,-14896.2483,2025-10-02
