timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-18,TSLA.US,call,245.0,2024-10-02,buy,3.7736,174,0.0,2024-09-18
2024-09-25,TSLA.US,call,245.0,2024-10-02,close,15.3981,174,202267.8866,2024-09-18
2024-11-15,TSLA.US,call,346.0,2024-11-29,buy,13.2691,89,0.0,2024-11-15
2024-11-19,TSLA.US,call,346.0,2024-11-29,close,20.9098,89,68002.277,2024-11-15
2025-03-31,TSLA.US,call,280.0,2025-04-14,buy,9.6682,58,0.0,2025-03-31
2025-04-07,TSLA.US,call,280.0,2025-04-14,close,1.2042,58,-49091.4811,2025-03-31
2025-05-30,TSLA.US,call,374.0,2025-06-13,buy,5.8934,88,0.0,2025-05-30
2025-06-02,TSLA.US,call,374.0,2025-06-13,close,3.6935,88,-19359.0198,2025-05-30
2025-09-26,TSLA.US,call,476.0,2025-10-10,buy,4.4321,32,0.0,2025-09-26
2025-09-29,TSLA.US,call,476.0,2025-10-10,close,3.5866,32,-2705.5512,2025-09-26
2025-10-02,TSLA.US,call,471.0,2025-10-16,buy,4.9909,43,0.0,2025-10-02
2025-10-03,TSLA.US,call,471.0,2025-10-16,close,3.3855,43,-6903.1048,2025-10-02
