source,code,entry_ts,exit_ts,pnl,return_pct,holding_days,win,bucket,qqq_htf_green,qqq_above_sma20,qqq_ret5_pos,mag7_breadth,mag7_breadth_ge4,mag7_breadth_ge5,mag7_frac,gate_qqq_green,gate_qqq_trend,gate_mag7_majority,gate_qqq_and_mag7,gate_full
v14_risk_kelly,APLD.US,2024-09-06,2024-09-06,773.4402,0.15,0.0,1.0,high_beta,False,False,False,2,False,False,0.2857142857142857,False,False,False,False,False
v14_risk_kelly,APLD.US,2024-10-18,2024-10-21,8967.3189,8.57,3.0,1.0,high_beta,False,True,False,3,False,False,0.42857142857142855,False,False,False,False,False
v14_risk_kelly,APLD.US,2024-11-22,2024-11-25,130054.6809,14.2,3.0,1.0,high_beta,False,True,False,3,False,False,0.42857142857142855,False,False,False,False,False
v14_risk_kelly,APLD.US,2025-02-10,2025-02-11,0.0007,0.18,0.0,1.0,high_beta,False,True,True,1,False,False,0.14285714285714285,False,False,False,False,False
v14_risk_kelly,APLD.US,2025-02-20,2025-02-21,107445.3847,8.44,1.0,1.0,high_beta,True,True,True,3,False,False,0.42857142857142855,True,True,False,False,False
v14_risk_kelly,APLD.US,2025-05-08,2025-05-08,0.004,1.84,0.0,1.0,high_beta,False,True,True,5,True,True,0.7142857142857143,False,False,True,False,False
v14_risk_kelly,APLD.US,2025-05-13,2025-05-15,4613.2358,2.84,2.0,1.0,high_beta,True,True,True,7,True,True,1.0,True,True,True,True,True
v14_risk_kelly,APLD.US,2025-05-19,2025-05-20,0.0001,0.05,0.0,1.0,high_beta,False,True,True,7,True,True,1.0,False,False,True,False,False
v14_risk_kelly,APLD.US,2025-05-22,2025-05-22,8251.6351,1.7,0.0,1.0,high_beta,False,True,False,6,True,True,0.8571428571428571,False,False,True,False,False
v14_risk_kelly,APLD.US,2025-05-28,2025-05-29,-8266.9218,-1.67,1.0,0.0,high_beta,False,True,False,6,True,True,0.8571428571428571,False,False,True,False,False
v14_risk_kelly,APLD.US,2025-06-03,2025-06-05,307485.2422,28.34,2.0,1.0,high_beta,False,True,True,6,True,True,0.8571428571428571,False,False,True,False,False
