timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-25,MU.US,call,104.0,2024-12-16,buy,4.8341,45,0.0,2024-11-25
2024-11-27,MU.US,call,104.0,2024-12-16,close,1.7555,45,-13853.9983,2024-11-25
2025-02-10,IONQ.US,call,41.0,2025-03-03,buy,7.6286,94,0.0,2025-02-10
2025-02-11,IONQ.US,call,41.0,2025-03-03,close,5.565,94,-19397.3613,2025-02-10
2025-02-11,HOOD.US,call,53.0,2025-03-04,buy,3.211,81,0.0,2025-02-11
2025-02-13,HOOD.US,call,53.0,2025-03-04,close,11.3953,81,66292.7191,2025-02-11
2025-05-06,IONQ.US,call,29.0,2025-05-27,buy,3.2058,100,0.0,2025-05-06
2025-05-07,IONQ.US,call,29.0,2025-05-27,close,2.9686,100,-2372.1804,2025-05-06
2025-05-30,AVGO.US,call,242.0,2025-06-20,buy,8.6799,17,0.0,2025-05-30
2025-06-09,AVGO.US,call,242.0,2025-06-20,close,7.1905,17,-2531.9742,2025-05-30
2025-06-25,MU.US,call,127.0,2025-07-16,buy,4.3487,33,0.0,2025-06-25
2025-06-30,MU.US,call,127.0,2025-07-16,close,1.8647,33,-8196.8922,2025-06-25
2025-07-08,HOOD.US,call,91.0,2025-07-29,buy,5.3781,39,0.0,2025-07-08
2025-07-09,HOOD.US,call,91.0,2025-07-29,close,7.1379,39,6863.5379,2025-07-08
