timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2022-09-15,TSLA.US,call,304.0,2022-10-06,buy,12.6044,15,0.0,2022-09-15
2022-09-23,TSLA.US,call,304.0,2022-10-06,close,0.9735,15,-17446.3578,2022-09-15
2022-10-28,APLD.US,call,2.0,2022-11-18,buy,0.2973,100,0.0,2022-10-28
2022-11-01,APLD.US,call,2.0,2022-11-18,close,0.3375,100,402.3199,2022-10-28
2022-11-02,APLD.US,call,2.0,2022-11-23,buy,0.3219,100,0.0,2022-11-02
2022-11-03,APLD.US,call,2.0,2022-11-23,close,0.3031,100,-188.4586,2022-11-02
2023-01-18,SPY.US,call,391.0,2023-02-08,buy,7.8435,6,0.0,2023-01-18
2023-01-20,APLD.US,call,2.0,2023-02-10,buy,0.4474,100,0.0,2023-01-20
2023-01-24,SPY.US,call,391.0,2023-02-08,close,12.2619,6,2651.0615,2023-01-18
2023-01-27,APLD.US,call,2.0,2023-02-10,close,1.2043,100,7568.5175,2023-01-20
2023-04-03,TSLA.US,call,195.0,2023-04-24,buy,10.5891,22,0.0,2023-04-03
2023-04-06,TSLA.US,call,195.0,2023-04-24,close,5.2048,22,-11845.4636,2023-04-03
2023-06-16,TSLA.US,call,261.0,2023-07-07,buy,8.7178,16,0.0,2023-06-16
2023-06-26,TSLA.US,call,261.0,2023-07-07,close,1.8047,16,-11060.9664,2023-06-16
2023-11-29,TSLA.US,call,244.0,2023-12-20,buy,13.5972,16,0.0,2023-11-29
2023-12-06,TSLA.US,call,244.0,2023-12-20,close,6.5855,16,-11218.7139,2023-11-29
