timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2022-08-02,MU.US,call,62.0,2022-08-23,buy,2.4961,52,0.0,2022-08-02
2022-08-03,MU.US,call,62.0,2022-08-23,close,3.5823,52,5648.1842,2022-08-02
2022-08-05,MU.US,call,62.0,2022-08-26,buy,2.6228,51,0.0,2022-08-05
2022-08-09,MU.US,call,62.0,2022-08-26,close,0.9644,51,-8457.8397,2022-08-05
2022-08-09,AVGO.US,call,53.0,2022-08-30,buy,1.5642,85,0.0,2022-08-09
2022-08-15,IONQ.US,call,6.0,2022-09-05,buy,0.6776,100,0.0,2022-08-15
2022-08-16,IONQ.US,call,6.0,2022-09-05,close,2.4767,100,17991.0874,2022-08-15
2022-08-16,AVGO.US,call,53.0,2022-08-30,close,2.6124,85,8909.4656,2022-08-09
2022-11-09,MU.US,call,56.0,2022-11-30,buy,2.4164,46,0.0,2022-11-09
2022-11-11,MU.US,call,56.0,2022-11-30,close,7.1979,46,21994.6726,2022-11-09
2023-01-25,MU.US,call,62.0,2023-02-15,buy,2.1799,72,0.0,2023-01-25
2023-02-07,MU.US,call,62.0,2023-02-15,close,1.5907,72,-4242.5599,2023-01-25
2023-02-09,IONQ.US,call,5.0,2023-03-02,buy,0.2341,100,0.0,2023-02-09
2023-02-10,IONQ.US,call,5.0,2023-03-02,close,0.2776,100,434.6742,2023-02-09
2023-02-17,IONQ.US,call,5.0,2023-03-10,buy,0.3492,100,0.0,2023-02-17
2023-02-21,IONQ.US,call,5.0,2023-03-10,close,0.2093,100,-1398.7759,2023-02-17
2023-03-10,AVGO.US,call,61.0,2023-03-31,buy,1.9159,70,0.0,2023-03-10
2023-03-21,AVGO.US,call,61.0,2023-03-31,close,2.9858,70,7489.3694,2023-03-10
2023-03-21,MU.US,call,59.0,2023-04-11,buy,1.6574,51,0.0,2023-03-21
2023-04-03,MU.US,call,59.0,2023-04-11,close,1.7202,51,320.3509,2023-03-21
2023-06-29,HOOD.US,call,10.0,2023-07-20,buy,0.2997,100,0.0,2023-06-29
2023-06-30,HOOD.US,call,10.0,2023-07-20,close,0.2966,100,-31.5286,2023-06-29
2023-08-04,MU.US,call,70.0,2023-08-25,buy,2.1386,58,0.0,2023-08-04
2023-08-09,MU.US,call,70.0,2023-08-25,close,0.6511,58,-8627.7004,2023-08-04
