timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-08-29,APLD.US,buy,4.2621,234624.46,signal,0.0,0,0.0
2024-08-29,APLD.US,sell,3.968,234624.46,signal,-69006.6201,0,-6.9
2024-09-06,APLD.US,buy,4.6073,202069.08,signal,0.0,0,0.0
2024-09-06,APLD.US,sell,4.6141,202069.08,signal,1371.8563,0,0.15
2024-09-09,APLD.US,buy,5.6878,163922.48,signal,0.0,0,0.0
2024-09-10,APLD.US,sell,6.2219,163922.48,signal,87541.9746,1,9.39
2024-10-18,APLD.US,buy,7.8989,129119.38,signal,0.0,0,0.0
2024-10-22,APLD.US,sell,9.1554,129119.38,signal,162234.933,4,15.91
2024-11-21,APLD.US,buy,9.4697,124833.74,signal,0.0,0,0.0
2024-11-22,APLD.US,sell,9.4253,124833.74,signal,-5548.5286,0,-0.47
2024-11-22,APLD.US,buy,9.7048,121237.69,signal,0.0,0,0.0
2024-11-25,APLD.US,sell,10.7745,121237.69,signal,129683.0879,2,11.02
2025-01-17,APLD.US,buy,8.9395,146124.66,signal,0.0,0,0.0
2025-01-21,APLD.US,sell,8.6857,146124.66,signal,-37088.3879,3,-2.84
2025-02-20,APLD.US,buy,9.8299,129114.92,signal,0.0,0,0.0
2025-02-24,APLD.US,sell,8.8906,129114.92,signal,-121285.3075,3,-9.56
2025-05-07,APLD.US,buy,5.2833,217268.41,signal,0.0,0,0.0
2025-05-07,APLD.US,sell,5.1474,217268.41,signal,-29530.1362,0,-2.57
2025-05-21,APLD.US,buy,6.7569,165516.25,signal,0.0,0,0.0
2025-05-23,APLD.US,sell,7.1664,165516.25,signal,67785.2505,1,6.06
2025-08-04,APLD.US,buy,13.3317,88973.01,signal,0.0,0,0.0
2025-08-05,APLD.US,sell,13.733,88973.01,signal,35710.8636,0,3.01
2025-08-25,APLD.US,buy,16.1381,75713.48,signal,0.0,0,0.0
2025-08-28,APLD.US,sell,16.6117,75713.48,signal,35859.924,3,2.93
2025-09-17,APLD.US,buy,19.8999,63202.63,signal,0.0,0,0.0
2025-09-18,APLD.US,sell,19.94,63202.63,signal,2533.2482,1,0.2
2025-09-19,APLD.US,buy,20.7804,60646.72,signal,0.0,0,0.0
2025-09-24,APLD.US,sell,24.008,60646.72,signal,195743.6567,4,15.53
2025-10-07,APLD.US,buy,26.9835,53959.15,signal,0.0,0,0.0
2025-10-08,APLD.US,sell,26.7766,53959.15,signal,-11162.9825,1,-0.77
2026-01-08,APLD.US,buy,32.016,45128.77,signal,0.0,0,0.0
2026-01-12,APLD.US,sell,39.1504,45128.77,signal,321967.291,3,22.28
2026-04-06,APLD.US,buy,25.1226,70327.64,signal,0.0,0,0.0
2026-04-06,APLD.US,sell,25.3473,70327.64,signal,15807.192,0,0.89
2026-04-07,APLD.US,buy,25.0642,71121.98,signal,0.0,0,0.0
2026-04-08,APLD.US,sell,28.076,71121.98,signal,214200.1091,0,12.02
2026-04-10,APLD.US,buy,27.1736,73483.78,signal,0.0,0,0.0
2026-04-10,APLD.US,sell,26.6367,73483.78,signal,-39453.8257,0,-1.98
2026-04-13,APLD.US,buy,27.3736,71505.58,signal,0.0,0,0.0
2026-04-13,APLD.US,sell,27.7761,71505.58,signal,28782.8869,0,1.47
2026-04-17,APLD.US,buy,30.8454,64390.33,signal,0.0,0,0.0
2026-04-20,APLD.US,sell,31.7541,64390.33,signal,58511.5272,3,2.95
2026-05-04,APLD.US,buy,34.5997,59094.69,signal,0.0,0,0.0
2026-05-04,APLD.US,sell,35.1824,59094.69,signal,34434.9655,0,1.68
2026-05-27,APLD.US,buy,47.3887,43873.19,signal,0.0,0,0.0
2026-05-28,APLD.US,sell,48.9255,43873.19,signal,67426.1428,1,3.24
2026-06-01,APLD.US,buy,47.6938,45006.22,signal,0.0,0,0.0
2026-06-01,APLD.US,sell,48.6757,45006.22,signal,44187.8987,0,2.06
