timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2020-02-14,MU.US,buy,60.1901,0.01,signal,0.0,0,0.0
2020-02-20,MU.US,sell,59.8501,0.01,signal,-0.0034,6,-0.56
2020-02-21,MU.US,buy,58.6593,0.01,signal,0.0,0,0.0
2020-02-25,MU.US,sell,54.8126,0.01,signal,-0.0385,4,-6.56
2020-02-10,SPY.US,buy,331.3956,3017.54,signal,0.0,0,0.0
2020-02-25,SPY.US,sell,323.778,3017.54,signal,-22986.3932,15,-2.3
2020-03-30,MU.US,buy,44.1921,22108.34,signal,0.0,0,0.0
2020-03-31,MU.US,sell,44.3778,22108.34,signal,4105.9246,1,0.42
2020-04-07,TSLA.US,buy,36.3515,26989.79,signal,0.0,0,0.0
2020-04-08,TSLA.US,sell,36.9282,26989.79,signal,15564.8677,1,1.59
2020-04-14,MU.US,buy,47.0235,21195.45,signal,0.0,0,0.0
2020-04-15,MU.US,sell,46.3768,21195.45,signal,-13707.0652,1,-1.38
2020-04-16,MU.US,buy,47.0435,20895.07,signal,0.0,0,0.0
2020-04-23,MU.US,sell,43.7981,20895.07,signal,-67813.294,7,-6.9
2020-05-01,MU.US,buy,46.3832,19730.51,signal,0.0,0,0.0
2020-05-06,MU.US,sell,46.047,19730.51,signal,-6633.7115,5,-0.72
2020-05-12,TSLA.US,buy,55.1609,16470.55,signal,0.0,0,0.0
2020-05-15,TSLA.US,sell,52.6637,16470.55,signal,-41130.9877,3,-4.53
2020-05-22,TSLA.US,buy,54.8387,15817.27,signal,0.0,0,0.0
2020-05-28,TSLA.US,sell,54.2069,15817.27,signal,-9994.2086,6,-1.15
2020-06-02,MU.US,buy,46.5132,18433.57,signal,0.0,0,0.0
2020-06-03,MU.US,sell,48.016,18433.57,signal,27700.7567,1,3.23
2020-06-12,SPY.US,buy,308.3941,1435.02,signal,0.0,0,0.0
2020-06-15,SPY.US,sell,297.871,1435.02,signal,-15100.9037,3,-3.41
2020-06-12,MU.US,buy,50.3151,8795.62,signal,0.0,0,0.0
2020-06-16,MU.US,sell,51.1344,8795.62,signal,7206.0222,4,1.63
2020-07-08,SPY.US,buy,314.7673,2786.86,signal,0.0,0,0.0
2020-07-29,SPY.US,sell,321.9589,2786.86,signal,20042.1072,21,2.28
2020-08-21,SPY.US,buy,338.089,2653.9,signal,0.0,0,0.0
2020-08-24,SPY.US,sell,341.9489,2653.9,signal,10243.9523,3,1.14
2020-09-04,SPY.US,buy,346.3031,1310.26,signal,0.0,0,0.0
2020-09-08,SPY.US,sell,336.5416,1310.26,signal,-12790.0158,4,-2.82
2020-09-04,MU.US,buy,46.2131,9818.61,signal,0.0,0,0.0
2020-09-16,MU.US,sell,49.0854,9818.61,signal,28202.5039,12,6.22
2020-09-22,MU.US,buy,49.2946,9361.16,signal,0.0,0,0.0
2020-09-23,MU.US,sell,50.9845,9361.16,signal,15819.0298,1,3.43
2020-09-22,TSLA.US,buy,143.2716,3220.84,signal,0.0,0,0.0
2020-09-25,TSLA.US,sell,131.0911,3220.84,signal,-39231.4844,3,-8.5
2020-09-28,MU.US,buy,49.6648,18111.35,signal,0.0,0,0.0
2020-09-30,MU.US,sell,48.9255,18111.35,signal,-13389.6056,2,-1.49
2020-10-01,SPY.US,buy,337.8588,2622.71,signal,0.0,0,0.0
2020-10-22,SPY.US,sell,342.7885,2622.71,signal,12929.0791,21,1.46
