timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-08-20,SPY.US,buy,558.239,1791.35,signal,0.0,0,0.0
2024-08-23,SPY.US,sell,559.9899,1791.35,signal,3136.4434,3,0.31
2024-08-26,IONQ.US,buy,7.584,132270.27,signal,0.0,0,0.0
2024-08-27,IONQ.US,sell,7.2664,132270.27,signal,-42012.3861,0,-4.19
2024-09-06,APLD.US,buy,4.6073,208608.85,signal,0.0,0,0.0
2024-09-06,APLD.US,sell,4.6141,208608.85,signal,1416.2551,0,0.15
2024-09-09,TSLA.US,buy,215.7078,4462.24,signal,0.0,0,0.0
2024-09-09,TSLA.US,sell,217.6111,4462.24,signal,8493.1381,0,0.88
2024-09-12,MU.US,buy,86.6763,11202.98,signal,0.0,0,0.0
2024-09-13,MU.US,sell,91.2643,11202.98,signal,51399.5279,1,5.29
2024-09-16,MU.US,buy,87.2936,11712.57,signal,0.0,0,0.0
2024-09-17,MU.US,sell,88.2559,11712.57,signal,11270.1634,1,1.1
2024-09-18,MU.US,buy,88.1641,65.32,signal,0.0,0,0.0
2024-09-19,MU.US,sell,89.2953,65.32,signal,73.8941,1,1.28
2024-09-17,ARM.US,buy,137.0685,1307.59,signal,0.0,0,0.0
2024-09-20,ARM.US,sell,139.5602,1307.59,signal,3258.1088,2,1.82
2024-09-20,MU.US,buy,89.5448,43.83,signal,0.0,0,0.0
2024-09-23,MU.US,sell,93.4932,43.83,signal,173.0576,3,4.41
2024-09-20,IONQ.US,buy,7.994,23066.75,signal,0.0,0,0.0
2024-09-25,IONQ.US,sell,7.946,23066.75,signal,-1106.5111,5,-0.6
2024-09-26,IONQ.US,buy,7.8189,0.07,signal,0.0,0,0.0
2024-09-27,IONQ.US,sell,9.6202,0.07,signal,0.1261,0,23.04
2024-09-26,TSLA.US,buy,254.4171,736.53,signal,0.0,0,0.0
2024-09-30,TSLA.US,sell,259.5002,736.53,signal,3743.82,3,2.0
2024-09-17,SPY.US,buy,563.0214,1507.43,signal,0.0,0,0.0
2024-09-30,SPY.US,sell,570.7545,1507.43,signal,11657.1036,13,1.37
2024-09-30,TSLA.US,buy,259.8299,735.6,signal,0.0,0,0.0
2024-10-01,TSLA.US,sell,250.0082,735.6,signal,-7224.7896,0,-3.78
2024-10-02,IONQ.US,buy,8.7344,119559.69,signal,0.0,0,0.0
2024-10-03,IONQ.US,sell,9.1104,119559.69,signal,44963.7367,0,4.31
2024-10-08,IONQ.US,buy,9.3997,115880.5,signal,0.0,0,0.0
2024-10-09,IONQ.US,sell,9.5852,115880.5,signal,21496.6665,0,1.97
2024-10-09,IONQ.US,buy,9.375,118478.94,signal,0.0,0,0.0
2024-10-10,IONQ.US,sell,9.3903,118478.94,signal,1814.8029,0,0.16
2024-10-15,SPY.US,buy,579.6297,1919.42,signal,0.0,0,0.0
2024-10-17,SPY.US,sell,583.5681,1919.42,signal,7559.3641,1,0.68
2024-10-17,ARM.US,buy,156.8384,7141.83,signal,0.0,0,0.0
2024-10-18,ARM.US,sell,154.2029,7141.83,signal,-18822.4053,0,-1.68
2024-10-18,APLD.US,buy,7.6838,143325.49,signal,0.0,0,0.0
2024-10-21,APLD.US,sell,8.5757,143325.49,signal,127827.7185,3,11.61
2024-10-21,MU.US,buy,108.6643,11311.15,signal,0.0,0,0.0
2024-10-22,MU.US,sell,106.5767,11311.15,signal,-23613.4209,0,-1.92
2024-10-24,IONQ.US,buy,15.6328,77113.73,signal,0.0,0,0.0
2024-10-25,IONQ.US,sell,16.012,77113.73,signal,29239.8266,1,2.43
2024-10-28,IONQ.US,buy,17.6316,70030.14,signal,0.0,0,0.0
2024-11-01,IONQ.US,sell,14.9925,70030.14,signal,-184817.3988,4,-14.97
2024-11-11,SPY.US,buy,599.1794,1752.27,signal,0.0,0,0.0
2024-11-14,SPY.US,sell,594.8224,1752.27,signal,-7634.6575,3,-0.73
2024-11-19,IONQ.US,buy,27.5037,37896.37,signal,0.0,0,0.0
2024-11-20,IONQ.US,sell,28.051,37896.37,signal,20737.7752,1,1.99
2024-11-26,SPY.US,buy,600.6702,1769.74,signal,0.0,0,0.0
2024-12-10,SPY.US,sell,604.8173,1769.74,signal,7339.3471,13,0.69
2024-12-10,MU.US,buy,99.8999,10714.42,signal,0.0,0,0.0
2024-12-11,MU.US,sell,101.2662,10714.42,signal,14639.3289,1,1.37
2024-12-17,ARM.US,buy,138.7593,7819.36,signal,0.0,0,0.0
2024-12-19,ARM.US,sell,134.6409,7819.36,signal,-32203.9979,2,-2.97
2024-12-19,IONQ.US,buy,37.1536,28336.57,signal,0.0,0,0.0
2024-12-23,IONQ.US,sell,41.5504,28336.57,signal,124591.6451,3,11.83
2024-12-30,IONQ.US,buy,44.5723,26415.44,signal,0.0,0,0.0
2025-01-03,IONQ.US,sell,46.7565,26415.44,signal,57697.5394,4,4.9
2025-01-14,TSLA.US,buy,409.1945,3018.35,signal,0.0,0,0.0
2025-01-15,TSLA.US,sell,426.5567,3018.35,signal,52405.3195,1,4.24
2025-01-16,ARM.US,buy,148.3191,8680.6,signal,0.0,0,0.0
2025-01-21,ARM.US,sell,148.5207,8680.6,signal,1749.8883,4,0.14
2025-01-22,MU.US,buy,109.0443,11823.17,signal,0.0,0,0.0
2025-01-22,MU.US,sell,109.4403,11823.17,signal,4681.5124,0,0.36
2025-01-23,MU.US,buy,103.5117,12500.33,signal,0.0,0,0.0
2025-01-24,MU.US,sell,102.9786,12500.33,signal,-6664.5031,1,-0.52
2025-02-06,ARM.US,buy,167.5837,7681.33,signal,0.0,0,0.0
2025-02-12,ARM.US,sell,155.7635,7681.33,signal,-90795.3988,6,-7.05
2025-02-12,SPY.US,buy,603.8917,1977.79,signal,0.0,0,0.0
2025-02-13,SPY.US,sell,605.8969,1977.79,signal,3965.8892,1,0.33
2025-02-14,MU.US,buy,98.9194,12135.5,signal,0.0,0,0.0
2025-02-14,MU.US,sell,98.3708,12135.5,signal,-6658.137,0,-0.55
2025-02-19,TSLA.US,buy,358.269,3332.07,signal,0.0,0,0.0
2025-02-21,TSLA.US,sell,348.4286,3332.07,signal,-32789.0266,1,-2.75
2025-03-21,TSLA.US,buy,240.4202,4829.0,signal,0.0,0,0.0
2025-03-24,TSLA.US,sell,274.0654,4829.0,signal,162472.9622,2,13.99
2025-04-02,TSLA.US,buy,280.7603,4713.85,signal,0.0,0,0.0
2025-04-03,TSLA.US,sell,267.1663,4713.85,signal,-64079.9228,0,-4.84
2025-04-10,MU.US,buy,69.2196,18194.02,signal,0.0,0,0.0
2025-04-10,MU.US,sell,68.8156,18194.02,signal,-7350.6858,0,-0.58
2025-04-11,MU.US,buy,66.9835,18691.65,signal,0.0,0,0.0
2025-04-11,MU.US,sell,69.7951,18691.65,signal,52553.7213,0,4.2
2025-04-14,MU.US,buy,73.6018,17724.92,signal,0.0,0,0.0
2025-04-14,MU.US,sell,70.3948,17724.92,signal,-56843.812,0,-4.36
2025-04-15,IONQ.US,buy,24.7424,50429.36,signal,0.0,0,0.0
2025-04-21,IONQ.US,sell,24.6877,50429.36,signal,-2759.1809,5,-0.22
2025-04-21,MU.US,buy,66.7233,17961.53,signal,0.0,0,0.0
2025-04-22,MU.US,sell,68.7748,17961.53,signal,36847.0807,1,3.07
2025-04-23,MU.US,buy,74.097,17299.34,signal,0.0,0,0.0
2025-04-23,MU.US,sell,72.8536,17299.34,signal,-21511.2651,0,-1.68
2025-04-24,IONQ.US,buy,27.0135,46655.13,signal,0.0,0,0.0
2025-04-24,IONQ.US,sell,28.8556,46655.13,signal,85941.8212,0,6.82
2025-04-24,TSLA.US,buy,254.9331,5280.84,signal,0.0,0,0.0
2025-04-24,TSLA.US,sell,255.872,5280.84,signal,4958.1943,0,0.37
2025-04-28,MU.US,buy,79.1095,17080.35,signal,0.0,0,0.0
2025-04-28,MU.US,sell,76.9616,17080.35,signal,-36687.4912,0,-2.72
2025-04-28,SPY.US,buy,547.4736,2401.09,signal,0.0,0,0.0
2025-05-07,SPY.US,sell,560.9694,2401.09,signal,32404.5411,9,2.47
2025-05-07,ARM.US,buy,121.0105,7161.53,signal,0.0,0,0.0
2025-05-13,ARM.US,sell,126.1319,7161.53,signal,36677.2764,5,4.23
2025-05-07,IONQ.US,buy,28.7944,16680.84,signal,0.0,0,0.0
2025-05-13,IONQ.US,sell,32.8636,16680.84,signal,67877.1801,5,14.13
2025-05-13,APLD.US,buy,5.4527,266195.31,signal,0.0,0,0.0
